Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
1,-1260.6,28.3,811.4,731,1.4585,23/05/18,12:41:22
2,-3838.8,28.3,811.4,731,1.4587,23/05/18,12:41:24
3,-4336.5,28.3,810.7,728,1.4587,23/05/18,12:41:26
4,-3846.4,28.3,810.7,728,1.4589,23/05/18,12:41:28
5,-3970.5,28.3,811.6,731,1.4589,23/05/18,12:41:30
6,-4192.5,28.3,811.6,731,1.4591,23/05/18,12:41:32
7,-4240.3,28.3,810,762,1.4591,23/05/18,12:41:34
8,-4194.3,28.3,810,762,1.4593,23/05/18,12:41:36
9,-4195.1,28.3,811.4,794,1.4594,23/05/18,12:41:38
10,-4194.6,28.3,811.4,794,1.4595,23/05/18,12:41:40
11,-2567.7,28.3,810.1,849,1.4596,23/05/18,12:41:42
12,8.1,28.3,810.1,849,1.4597,23/05/18,12:41:44
13,501.1,28.3,810.8,875,1.4598,23/05/18,12:41:46
14,8.9,28.3,810.8,875,1.46,23/05/18,12:41:48
15,9.3,28.3,810.8,903,1.46,23/05/18,12:41:50
16,9.9,28.3,810.8,903,1.4602,23/05/18,12:41:52
17,10.5,28.3,809.2,903,1.4602,23/05/18,12:41:54
18,11,28.3,809.2,903,1.4604,23/05/18,12:41:56
19,11.5,28.3,811,928,1.4604,23/05/18,12:41:58
20,12.1,28.3,811,928,1.4606,23/05/18,12:42:00
21,13.1,28.3,809.6,942,1.4606,23/05/18,12:42:02
22,14.4,28.3,809.6,942,1.4608,23/05/18,12:42:04
23,15.4,28.3,810.4,949,1.4608,23/05/18,12:42:06
24,16.3,28.3,810.4,949,1.461,23/05/18,12:42:08
25,17.2,28.3,810.6,908,1.461,23/05/18,12:42:10
26,17.8,28.3,810.6,908,1.4612,23/05/18,12:42:12
27,18.6,28.3,809,913,1.4612,23/05/18,12:42:14
28,19.9,28.3,809,913,1.4614,23/05/18,12:42:16
29,21.4,28.3,811.1,879,1.4614,23/05/18,12:42:18
30,22.6,28.3,811.1,879,1.4616,23/05/18,12:42:20
31,23.5,28.3,810,919,1.4616,23/05/18,12:42:22
32,24.4,28.3,810,919,1.4618,23/05/18,12:42:24
33,25.6,28.3,809.8,959,1.4618,23/05/18,12:42:26
34,26.9,28.3,809.8,959,1.462,23/05/18,12:42:28
35,28.1,28.3,810.9,919,1.462,23/05/18,12:42:30
36,29.4,28.3,810.9,919,1.4622,23/05/18,12:42:32
37,30.4,28.3,808.9,937,1.4622,23/05/18,12:42:34
38,31,28.3,808.9,937,1.4624,23/05/18,12:42:36
39,31.2,28.3,811,884,1.4624,23/05/18,12:42:38
40,31.7,28.3,811,884,1.4627,23/05/18,12:42:40
41,32.5,28.3,810.7,918,1.4626,23/05/18,12:42:42
42,33.3,28.3,810.7,918,1.4629,23/05/18,12:42:44
43,34.1,28.3,809,956,1.4628,23/05/18,12:42:46
44,35,28.3,809,956,1.4631,23/05/18,12:42:48
45,35.9,28.3,810.4,897,1.463,23/05/18,12:42:50
46,36.6,28.3,810.4,897,1.4632,23/05/18,12:42:52
47,36.8,28.3,811.1,925,1.4632,23/05/18,12:42:54
48,37.2,28.3,811.1,925,1.4634,23/05/18,12:42:56
49,38,28.3,809.7,892,1.4633,23/05/18,12:42:58
50,38.7,28.3,809.7,892,1.4636,23/05/18,12:43:00
51,39,28.3,809.5,913,1.4635,23/05/18,12:43:02
52,39.4,28.3,809.5,913,1.4638,23/05/18,12:43:04
53,39.7,28.3,810.8,949,1.4637,23/05/18,12:43:06
54,39.8,28.3,810.8,949,1.464,23/05/18,12:43:08
55,40,28.3,810.7,914,1.4639,23/05/18,12:43:10
56,40.5,28.3,810.7,914,1.4642,23/05/18,12:43:12
57,41.5,28.3,809.9,947,1.4641,23/05/18,12:43:14
58,42.6,28.3,809.9,947,1.4644,23/05/18,12:43:16
59,43.4,28.3,809.2,954,1.4643,23/05/18,12:43:18
60,44.2,28.3,809.2,954,1.4646,23/05/18,12:43:20
61,45.1,28.3,810.7,911,1.4645,23/05/18,12:43:22
62,45.8,28.3,810.7,911,1.4648,23/05/18,12:43:24
63,46.1,28.3,810.7,933,1.4647,23/05/18,12:43:26
64,46.3,28.3,810.7,933,1.465,23/05/18,12:43:28
65,46.6,28.4,810.9,965,1.4649,23/05/18,12:43:30
66,46.9,28.4,810.9,965,1.4652,23/05/18,12:43:32
67,47,28.4,809.7,918,1.465,23/05/18,12:43:34
68,47.4,28.4,809.7,918,1.4653,23/05/18,12:43:36
69,47.9,28.3,809.6,935,1.4652,23/05/18,12:43:38
70,48.2,28.3,809.6,935,1.4655,23/05/18,12:43:40
71,48.3,28.4,810.7,915,1.4654,23/05/18,12:43:42
72,48.5,28.4,810.7,915,1.4657,23/05/18,12:43:44
73,49.2,28.5,810.9,966,1.4656,23/05/18,12:43:46
74,50.2,28.5,810.9,966,1.4659,23/05/18,12:43:48
75,51,28.5,810.3,934,1.4657,23/05/18,12:43:50
76,51.7,28.5,810.3,934,1.4661,23/05/18,12:43:52
77,52.6,28.6,809.2,947,1.4659,23/05/18,12:43:54
78,53.4,28.6,809.2,947,1.4663,23/05/18,12:43:56
79,54,28.4,809.4,947,1.4661,23/05/18,12:43:58
80,54.3,28.4,809.4,947,1.4664,23/05/18,12:44:00
81,54.8,28.4,810,929,1.4663,23/05/18,12:44:02
82,55.4,28.4,810,929,1.4666,23/05/18,12:44:04
83,55.5,28.6,810.9,926,1.4665,23/05/18,12:44:06
84,55.3,28.6,810.9,926,1.4668,23/05/18,12:44:08
85,55.2,28.6,811.3,904,1.4666,23/05/18,12:44:10
86,55.3,28.6,811.3,904,1.467,23/05/18,12:44:12
87,55.2,28.6,811.1,925,1.4668,23/05/18,12:44:14
88,54.8,28.6,811.1,925,1.4672,23/05/18,12:44:16
89,54.7,28.7,810.7,950,1.467,23/05/18,12:44:18
90,54.9,28.7,810.7,950,1.4673,23/05/18,12:44:20
91,55.3,28.7,810,952,1.4671,23/05/18,12:44:22
92,55.9,28.7,810,952,1.4675,23/05/18,12:44:24
93,56.9,28.7,809.1,966,1.4673,23/05/18,12:44:26
94,58.1,28.7,809.1,966,1.4677,23/05/18,12:44:28
95,59.2,28.6,808.9,909,1.4675,23/05/18,12:44:30
96,59.9,28.6,808.9,909,1.4679,23/05/18,12:44:32
97,60.6,28.6,810,910,1.4677,23/05/18,12:44:34
98,61.2,28.6,810,910,1.468,23/05/18,12:44:36
99,61.7,28.7,810.8,915,1.4678,23/05/18,12:44:38
100,62.3,28.7,810.8,915,1.4682,23/05/18,12:44:40
101,63.2,28.7,810.9,942,1.468,23/05/18,12:44:42
102,64.1,28.7,810.9,942,1.4684,23/05/18,12:44:44
103,64.5,28.7,811.1,955,1.4681,23/05/18,12:44:46
104,64.6,28.7,811.1,955,1.4685,23/05/18,12:44:48
105,64.3,28.7,810.8,968,1.4683,23/05/18,12:44:50
106,64.3,28.7,810.8,968,1.4687,23/05/18,12:44:52
107,64.7,28.8,810.9,963,1.4685,23/05/18,12:44:54
108,65.5,28.8,810.9,963,1.4689,23/05/18,12:44:56
109,66.7,28.7,810.6,964,1.4686,23/05/18,12:44:58
110,67.9,28.7,810.6,964,1.4691,23/05/18,12:45:00
111,68.5,28.8,810.2,957,1.4688,23/05/18,12:45:02
112,68.9,28.8,810.2,957,1.4692,23/05/18,12:45:04
113,69,28.8,810.2,989,1.469,23/05/18,12:45:06
114,69.5,28.8,810.2,989,1.4694,23/05/18,12:45:08
115,70.8,28.8,810.4,993,1.4691,23/05/18,12:45:10
116,71.9,28.8,810.4,993,1.4695,23/05/18,12:45:12
117,72.1,28.8,810.1,993,1.4693,23/05/18,12:45:14
118,71.8,28.8,810.1,993,1.4697,23/05/18,12:45:16
