Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
46,45.4,31.8,811.5,906,1.5432,29/05/18,13:51:08
47,46,31.7,811.3,910,1.543,29/05/18,13:51:10
48,46.5,31.7,811.3,910,1.5432,29/05/18,13:51:12
49,47,31.8,811.7,903,1.5429,29/05/18,13:51:14
50,47.7,31.8,811.7,903,1.5432,29/05/18,13:51:16
51,48.6,31.7,811.7,906,1.5429,29/05/18,13:51:18
52,49.7,31.7,811.7,906,1.5432,29/05/18,13:51:20
53,50.4,31.8,812.1,910,1.5429,29/05/18,13:51:22
54,50.5,31.8,812.1,910,1.5431,29/05/18,13:51:24
55,50.9,31.8,811.9,927,1.5429,29/05/18,13:51:26
56,51.6,31.8,811.9,927,1.5431,29/05/18,13:51:28
57,52.3,31.8,812,943,1.5428,29/05/18,13:51:30
58,53.3,31.8,812,943,1.5431,29/05/18,13:51:32
59,54.1,31.9,812.5,963,1.5428,29/05/18,13:51:34
60,54.7,31.9,812.5,963,1.5431,29/05/18,13:51:36
61,54.9,31.8,812.5,977,1.5428,29/05/18,13:51:38
62,54.9,31.8,812.5,977,1.5431,29/05/18,13:51:40
63,55.1,31.8,813.1,982,1.5428,29/05/18,13:51:42
64,55.4,31.8,813.1,982,1.543,29/05/18,13:51:44
65,55.7,31.8,813.3,988,1.5427,29/05/18,13:51:46
66,56.2,31.8,813.3,988,1.543,29/05/18,13:51:48
67,56.5,31.8,812.9,993,1.5427,29/05/18,13:51:50
68,56,31.8,812.9,993,1.543,29/05/18,13:51:52
69,55.8,31.8,812.9,994,1.5427,29/05/18,13:51:54
70,56.4,31.8,812.9,994,1.543,29/05/18,13:51:56
71,57.7,31.8,812.8,997,1.5426,29/05/18,13:51:58
72,59,31.8,812.8,997,1.5429,29/05/18,13:52:00
73,59.7,31.8,812.3,995,1.5426,29/05/18,13:52:02
74,60.1,31.8,812.3,995,1.5429,29/05/18,13:52:04
75,60.9,31.8,811.9,996,1.5426,29/05/18,13:52:06
76,61.6,31.8,811.9,996,1.5428,29/05/18,13:52:08
77,62.1,31.8,811.9,996,1.5425,29/05/18,13:52:10
78,63.1,31.8,811.9,996,1.5428,29/05/18,13:52:12
79,64.1,31.8,811.6,995,1.5425,29/05/18,13:52:14
80,64.4,31.8,811.6,995,1.5428,29/05/18,13:52:16
81,64.2,31.8,811.8,996,1.5424,29/05/18,13:52:18
82,63.9,31.8,811.8,996,1.5427,29/05/18,13:52:20
83,63.9,31.8,811.9,998,1.5424,29/05/18,13:52:22
84,63.8,31.8,811.9,998,1.5427,29/05/18,13:52:24
85,63.6,31.8,811.9,995,1.5424,29/05/18,13:52:26
86,63.4,31.8,811.9,995,1.5427,29/05/18,13:52:28
87,64,31.8,811.9,997,1.5423,29/05/18,13:52:30
88,65.1,31.8,811.9,997,1.5426,29/05/18,13:52:32
89,66,31.8,811.5,995,1.5423,29/05/18,13:52:34
90,66.9,31.8,811.5,995,1.5426,29/05/18,13:52:36
91,67.8,31.8,811.7,995,1.5422,29/05/18,13:52:38
92,68.6,31.8,811.7,995,1.5425,29/05/18,13:52:40
93,69.4,31.8,811.8,993,1.5421,29/05/18,13:52:42
94,70.5,31.8,811.8,993,1.5425,29/05/18,13:52:44
95,71.9,31.7,811.7,993,1.5421,29/05/18,13:52:46
96,72.9,31.7,811.7,993,1.5424,29/05/18,13:52:48
97,73.1,31.7,811.9,993,1.5421,29/05/18,13:52:50
98,72.7,31.7,811.9,993,1.5424,29/05/18,13:52:52
99,72.4,31.7,811.4,993,1.542,29/05/18,13:52:54
100,71.8,31.7,811.4,993,1.5423,29/05/18,13:52:56
101,71.4,31.7,811.4,988,1.542,29/05/18,13:52:58
102,71.6,31.7,811.4,988,1.5423,29/05/18,13:53:00
103,72.2,31.7,811,985,1.5419,29/05/18,13:53:02
104,72.5,31.7,811,985,1.5422,29/05/18,13:53:04
105,72.3,31.7,811.2,980,1.5418,29/05/18,13:53:06
106,72.1,31.7,811.2,980,1.5422,29/05/18,13:53:08
107,72.6,31.7,811.5,969,1.5418,29/05/18,13:53:10
108,73.3,31.7,811.5,969,1.5421,29/05/18,13:53:12
109,74,31.7,811.9,985,1.5417,29/05/18,13:53:14
110,74.8,31.7,811.9,985,1.5421,29/05/18,13:53:16
111,75.5,31.7,812.3,969,1.5417,29/05/18,13:53:18
112,75.7,31.7,812.3,969,1.542,29/05/18,13:53:20
113,75.6,31.7,812.8,985,1.5416,29/05/18,13:53:22
114,75.6,31.7,812.8,985,1.542,29/05/18,13:53:24
115,76,31.7,812.8,978,1.5416,29/05/18,13:53:26
116,76.4,31.7,812.8,978,1.5419,29/05/18,13:53:28
117,76.6,31.7,812.9,991,1.5415,29/05/18,13:53:30
118,76.8,31.7,812.9,991,1.5418,29/05/18,13:53:32
119,77.2,31.7,813,994,1.5414,29/05/18,13:53:34
120,77.6,31.7,813,994,1.5418,29/05/18,13:53:36
121,77.9,31.7,813,996,1.5414,29/05/18,13:53:38
122,78.5,31.7,813,996,1.5417,29/05/18,13:53:40
123,79.4,31.7,813.3,999,1.5413,29/05/18,13:53:42
124,80.2,31.7,813.3,999,1.5416,29/05/18,13:53:44
125,80.6,31.7,813.3,1000,1.5412,29/05/18,13:53:46
126,80.8,31.7,813.3,1000,1.5416,29/05/18,13:53:48
127,80.4,31.7,813.3,1001,1.5412,29/05/18,13:53:50
128,79.6,31.7,813.3,1001,1.5415,29/05/18,13:53:52
129,79.1,31.7,813.4,1004,1.5411,29/05/18,13:53:54
130,79,31.7,813.4,1004,1.5415,29/05/18,13:53:56
131,79.1,31.7,812.3,1005,1.541,29/05/18,13:53:58
132,79.4,31.7,812.3,1005,1.5414,29/05/18,13:54:00
133,79.6,31.7,812.3,1003,1.541,29/05/18,13:54:02
134,79.8,31.7,812.3,1003,1.5413,29/05/18,13:54:04
