Timestamp,ID,Temp,Humidity,CO,NOX,HEATER ON
12:18:37,F45EAB9F6CCD,23.114,31.818,4,2047,1
12:18:41,F45EAB9F6CCD,23.224,31.702,3,2041,1
12:18:46,F45EAB9F6CCD,23.386,31.39,3,1777,1
12:18:51,F45EAB9F6CCD,23.517,31.293,3,1624,1
12:18:56,F45EAB9F6CCD,23.668,30.774,3,1515,1
12:19:01,F45EAB9F6CCD,23.748,30.481,3,1444,1
12:19:06,F45EAB9F6CCD,23.859,30.078,3,1392,1
12:19:11,F45EAB9F6CCD,24,29.669,3,1352,1
12:19:17,F45EAB9F6CCD,24.151,29.352,3,1319,1
12:19:22,F45EAB9F6CCD,24.262,29.352,3,1302,1
12:19:27,F45EAB9F6CCD,24.443,29.138,3,1285,1
12:19:32,F45EAB9F6CCD,24.453,28.943,3,1274,1
12:19:37,F45EAB9F6CCD,24.604,28.827,3,1256,1
12:19:42,F45EAB9F6CCD,24.796,28.632,3,1247,1
12:19:47,F45EAB9F6CCD,24.896,28.516,3,1238,1
12:19:52,F45EAB9F6CCD,25.017,28.32,3,1232,1
12:19:58,F45EAB9F6CCD,25.188,28.204,3,1227,1
12:20:03,F45EAB9F6CCD,25.269,28.009,3,1223,1
12:20:08,F45EAB9F6CCD,25.39,27.893,3,1220,1
12:20:13,F45EAB9F6CCD,25.541,27.679,3,1217,1
12:20:18,F45EAB9F6CCD,25.662,27.582,3,1215,1
12:20:23,F45EAB9F6CCD,25.793,27.472,3,1213,1
12:20:28,F45EAB9F6CCD,25.833,27.271,3,1210,1
12:20:33,F45EAB9F6CCD,25.913,27.173,3,1209,1
12:20:39,F45EAB9F6CCD,26.044,27.063,3,1207,1
12:20:44,F45EAB9F6CCD,26.095,26.862,3,1205,1
12:20:49,F45EAB9F6CCD,26.276,26.752,3,1205,1
12:20:54,F45EAB9F6CCD,26.437,26.55,3,1204,1
12:20:59,F45EAB9F6CCD,26.417,26.453,3,1203,1
12:21:04,F45EAB9F6CCD,26.558,26.343,3,1203,1
12:21:09,F45EAB9F6CCD,26.709,26.141,3,1202,1
12:21:14,F45EAB9F6CCD,26.719,26.044,3,1202,1
12:21:20,F45EAB9F6CCD,26.83,25.934,3,1202,1
12:21:25,F45EAB9F6CCD,26.91,25.836,3,1202,1
12:21:30,F45EAB9F6CCD,27.011,25.72,3,1203,1
12:21:35,F45EAB9F6CCD,27.122,25.525,3,1203,1
12:21:40,F45EAB9F6CCD,27.162,25.525,3,1203,1
12:21:45,F45EAB9F6CCD,27.253,25.415,3,1204,1
12:21:50,F45EAB9F6CCD,27.273,25.317,3,1204,1
12:21:56,F45EAB9F6CCD,27.394,25.214,3,1205,1
12:22:01,F45EAB9F6CCD,27.464,25.116,3,1206,1
12:22:06,F45EAB9F6CCD,27.495,25.006,3,1206,1
12:22:11,F45EAB9F6CCD,27.605,24.908,3,1207,1
12:22:16,F45EAB9F6CCD,27.706,24.811,3,1208,1
12:22:21,F45EAB9F6CCD,27.686,24.811,3,1209,1
12:22:26,F45EAB9F6CCD,27.756,24.695,3,1209,1
12:22:31,F45EAB9F6CCD,27.867,24.597,3,1211,1
12:22:37,F45EAB9F6CCD,27.877,24.5,3,1211,1
12:22:42,F45EAB9F6CCD,27.988,24.487,3,1212,1
12:22:47,F45EAB9F6CCD,28.048,24.39,3,1213,1
12:22:52,F45EAB9F6CCD,28.129,24.292,3,1214,1
12:22:57,F45EAB9F6CCD,28.089,24.292,3,1215,1
12:23:02,F45EAB9F6CCD,28.179,24.194,3,1216,1
