Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
1135,17.9,32.2,808,979,1.5222,6/6/2018,15:00:00
1136,17.8,32.2,806.4,990,1.5221,6/6/2018,15:00:02
1137,17.2,32.2,806.4,990,1.5221,6/6/2018,15:00:04
1138,16.7,32.2,806.9,966,1.522,6/6/2018,15:00:06
1139,16.7,32.2,806.9,966,1.5221,6/6/2018,15:00:08
1140,17,32.2,808.3,968,1.522,6/6/2018,15:00:10
1141,17.4,32.2,808.3,968,1.5221,6/6/2018,15:00:12
1142,17.8,32.2,808.5,977,1.522,6/6/2018,15:00:14
1143,18.3,32.2,808.5,977,1.5221,6/6/2018,15:00:16
1144,18.4,32.2,807.6,988,1.522,6/6/2018,15:00:18
1145,18.2,32.2,807.6,988,1.522,6/6/2018,15:00:20
1146,17.8,32.2,806.3,977,1.522,6/6/2018,15:00:22
1147,17.6,32.2,806.3,977,1.522,6/6/2018,15:00:24
1148,17.5,32.2,807,975,1.5219,6/6/2018,15:00:26
1149,17.4,32.2,807,975,1.522,6/6/2018,15:00:28
1150,17.1,32.2,808.3,980,1.5219,6/6/2018,15:00:30
1151,16.8,32.2,808.3,980,1.522,6/6/2018,15:00:32
1152,16.4,32.2,807.3,991,1.5219,6/6/2018,15:00:34
1153,16,32.2,807.3,991,1.522,6/6/2018,15:00:36
1154,15.7,32.2,806.3,976,1.5219,6/6/2018,15:00:38
1155,15.6,32.2,806.3,976,1.5219,6/6/2018,15:00:40
1156,15.5,32.2,807.6,980,1.5218,6/6/2018,15:00:42
1157,16.1,32.2,807.6,980,1.5219,6/6/2018,15:00:44
1158,17,32.2,808.5,984,1.5218,6/6/2018,15:00:46
1159,17.5,32.2,808.5,984,1.5219,6/6/2018,15:00:48
1160,17.6,32.2,808.1,987,1.5218,6/6/2018,15:00:50
1161,17.8,32.2,808.1,987,1.5219,6/6/2018,15:00:52
1162,18,32.2,806.5,998,1.5218,6/6/2018,15:00:54
1163,18.1,32.2,806.5,998,1.5218,6/6/2018,15:00:56
1164,18.2,32.2,806.6,998,1.5217,6/6/2018,15:00:58
1165,18.4,32.2,806.6,998,1.5218,6/6/2018,15:01:00
1166,18.6,32.2,808.6,978,1.5217,6/6/2018,15:01:02
1167,18.7,32.2,808.6,978,1.5218,6/6/2018,15:01:04
1168,18.4,32.2,808.5,988,1.5217,6/6/2018,15:01:06
1169,18,32.2,808.5,988,1.5217,6/6/2018,15:01:08
1170,17.6,32.2,807.4,999,1.5217,6/6/2018,15:01:10
1171,17.3,32.2,807.4,999,1.5217,6/6/2018,15:01:12
1172,16.9,32.2,806.2,994,1.5216,6/6/2018,15:01:14
1173,16.8,32.2,806.2,994,1.5217,6/6/2018,15:01:16
1174,17,32.2,807.4,991,1.5216,6/6/2018,15:01:18
1175,17.4,32.2,807.4,991,1.5217,6/6/2018,15:01:20
1176,17.6,32.2,808.9,987,1.5216,6/6/2018,15:01:22
1177,17.5,32.2,808.9,987,1.5216,6/6/2018,15:01:24
1178,17.5,32.2,808,1001,1.5215,6/6/2018,15:01:26
1179,17.7,32.2,808,1001,1.5216,6/6/2018,15:01:28
1180,17.8,32.2,806.4,1002,1.5215,6/6/2018,15:01:30
1181,17.6,32.2,806.4,1002,1.5216,6/6/2018,15:01:32
1182,17.5,32.2,806.8,989,1.5215,6/6/2018,15:01:34
1183,17.7,32.2,806.8,989,1.5216,6/6/2018,15:01:36
1184,17.6,32.2,808.4,995,1.5215,6/6/2018,15:01:38
1185,17.1,32.2,808.4,995,1.5215,6/6/2018,15:01:40
1186,16.3,32.2,807.4,995,1.5214,6/6/2018,15:01:42
1187,15.9,32.2,807.4,995,1.5215,6/6/2018,15:01:44
1188,15.7,32.2,806.1,1007,1.5214,6/6/2018,15:01:46
