Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
1,89.5,26.2,816,907,1.3579,8/6/2018,11:01:47
2,228.8,26.3,815.3,889,1.3581,8/6/2018,11:01:49
3,256.7,26.3,815.3,889,1.3583,8/6/2018,11:01:51
4,228.9,26.3,816,895,1.3585,8/6/2018,11:01:53
5,228.6,26.3,816,895,1.3587,8/6/2018,11:01:55
6,228.1,26.3,815.5,891,1.3588,8/6/2018,11:01:57
7,227.8,26.3,815.5,891,1.3591,8/6/2018,11:01:59
8,227.8,26.3,815.5,875,1.3592,8/6/2018,11:02:01
9,228.1,26.3,815.5,875,1.3594,8/6/2018,11:02:03
10,228.5,26.3,815.8,889,1.3596,8/6/2018,11:02:05
11,144.9,26.3,815.8,889,1.3598,8/6/2018,11:02:07
12,5.6,26.3,814.3,889,1.36,8/6/2018,11:02:09
13,-22,26.3,814.3,889,1.3602,8/6/2018,11:02:11
14,6.1,26.3,815.9,920,1.3604,8/6/2018,11:02:13
15,6.5,26.3,815.9,920,1.3606,8/6/2018,11:02:15
16,6.7,26.3,815.4,922,1.3608,8/6/2018,11:02:17
17,6.2,26.3,815.4,922,1.361,8/6/2018,11:02:19
18,5.5,26.3,814.8,924,1.3611,8/6/2018,11:02:21
19,5.4,26.3,814.8,924,1.3613,8/6/2018,11:02:23
20,5.5,26.4,816,918,1.3615,8/6/2018,11:02:25
21,5.5,26.4,816,918,1.3617,8/6/2018,11:02:27
22,5.4,26.4,815.5,920,1.3619,8/6/2018,11:02:29
23,5,26.4,815.5,920,1.3621,8/6/2018,11:02:31
24,4.6,26.4,815.7,913,1.3623,8/6/2018,11:02:33
25,4.4,26.4,815.7,913,1.3624,8/6/2018,11:02:35
26,4.3,26.4,815.8,938,1.3626,8/6/2018,11:02:37
27,4.8,26.4,815.8,938,1.3628,8/6/2018,11:02:39
28,5.6,26.5,815.4,940,1.363,8/6/2018,11:02:41
29,5.9,26.5,815.4,940,1.3632,8/6/2018,11:02:43
30,6.1,26.4,814,916,1.3634,8/6/2018,11:02:45
31,6.5,26.4,814,916,1.3636,8/6/2018,11:02:47
32,7.1,26.6,814.8,955,1.3637,8/6/2018,11:02:49
33,8,26.6,814.8,955,1.364,8/6/2018,11:02:51
34,9.2,26.6,816,912,1.3641,8/6/2018,11:02:53
35,10.8,26.6,816,912,1.3643,8/6/2018,11:02:55
36,12.4,26.7,815.8,953,1.3645,8/6/2018,11:02:57
37,13.3,26.7,815.8,953,1.3647,8/6/2018,11:02:59
38,14.1,26.7,815.7,1011,1.3648,8/6/2018,11:03:01
39,15,26.7,815.7,1011,1.3651,8/6/2018,11:03:03
40,15.7,26.7,815.1,944,1.3652,8/6/2018,11:03:05
41,16.2,26.7,815.1,944,1.3655,8/6/2018,11:03:07
42,16.6,26.7,814.4,912,1.3656,8/6/2018,11:03:09
43,16.9,26.7,814.4,912,1.3659,8/6/2018,11:03:11
44,17.5,26.7,814.2,958,1.366,8/6/2018,11:03:13
45,18,26.7,814.2,958,1.3662,8/6/2018,11:03:15
46,18.3,26.8,814.4,873,1.3663,8/6/2018,11:03:17
47,18.9,26.8,814.4,873,1.3666,8/6/2018,11:03:19
48,19.5,26.8,814.6,866,1.3667,8/6/2018,11:03:21
49,20.1,26.8,814.6,866,1.367,8/6/2018,11:03:23
50,20.6,26.8,814.8,871,1.3671,8/6/2018,11:03:25
51,21.1,26.8,814.8,871,1.3674,8/6/2018,11:03:27
52,21.5,26.8,814,848,1.3675,8/6/2018,11:03:29
53,21.9,26.8,814,848,1.3678,8/6/2018,11:03:31
54,22,26.8,814.2,839,1.3679,8/6/2018,11:03:33
55,22.1,26.8,814.2,839,1.3681,8/6/2018,11:03:35
56,22,26.8,814.5,824,1.3682,8/6/2018,11:03:37
57,21.6,26.8,814.5,824,1.3685,8/6/2018,11:03:39
58,21.2,26.8,814.3,825,1.3686,8/6/2018,11:03:41
59,21.2,26.8,814.3,825,1.3689,8/6/2018,11:03:43
60,21.4,26.8,814.2,824,1.369,8/6/2018,11:03:45
61,21.6,26.8,814.2,824,1.3693,8/6/2018,11:03:47
62,21.7,26.8,814.4,810,1.3694,8/6/2018,11:03:49
63,21.5,26.8,814.4,810,1.3697,8/6/2018,11:03:51
64,21.2,26.8,814.9,820,1.3698,8/6/2018,11:03:53
65,21.4,26.8,814.9,820,1.3701,8/6/2018,11:03:55
66,22.2,26.8,815.4,827,1.3701,8/6/2018,11:03:57
67,22.7,26.8,815.4,827,1.3704,8/6/2018,11:03:59
68,22.5,26.8,815.6,829,1.3705,8/6/2018,11:04:01
69,22,26.8,815.6,829,1.3708,8/6/2018,11:04:03
70,21.6,26.8,815.9,840,1.3709,8/6/2018,11:04:05
71,21.5,26.8,815.9,840,1.3712,8/6/2018,11:04:07
72,21.5,26.8,814.4,849,1.3713,8/6/2018,11:04:09
73,21.6,26.8,814.4,849,1.3716,8/6/2018,11:04:11
74,21.7,26.8,814.2,848,1.3717,8/6/2018,11:04:13
75,21.2,26.8,814.2,848,1.3719,8/6/2018,11:04:15
76,20.2,26.8,815.8,892,1.372,8/6/2018,11:04:17
77,19.7,26.8,815.8,892,1.3723,8/6/2018,11:04:19
78,20,26.8,815.8,929,1.3724,8/6/2018,11:04:21
79,20.4,26.8,815.8,929,1.3727,8/6/2018,11:04:23
80,20.8,26.8,815,940,1.3728,8/6/2018,11:04:25
81,21.1,26.8,815,940,1.3731,8/6/2018,11:04:27
82,21.4,26.8,814.7,940,1.3732,8/6/2018,11:04:29
83,21.7,26.8,814.7,940,1.3734,8/6/2018,11:04:31
84,21.8,26.8,815.8,963,1.3735,8/6/2018,11:04:33
85,21.9,26.8,815.8,963,1.3738,8/6/2018,11:04:35
86,22.2,26.8,815.9,977,1.3739,8/6/2018,11:04:37
87,22.5,26.8,815.9,977,1.3742,8/6/2018,11:04:39
88,23,26.8,815.4,942,1.3743,8/6/2018,11:04:41
89,23.4,26.8,815.4,942,1.3746,8/6/2018,11:04:43
90,23.5,26.8,814.9,915,1.3746,8/6/2018,11:04:45
91,23.8,26.8,814.9,915,1.375,8/6/2018,11:04:47
92,24.1,26.8,815.9,946,1.375,8/6/2018,11:04:49
93,24.3,26.8,815.9,946,1.3753,8/6/2018,11:04:51
94,24.4,26.8,814.6,946,1.3754,8/6/2018,11:04:53
95,24.8,26.8,814.6,946,1.3757,8/6/2018,11:04:55
96,25.4,26.8,815.7,946,1.3758,8/6/2018,11:04:57
97,25.5,26.8,815.7,946,1.3761,8/6/2018,11:04:59
98,25,26.8,815.9,931,1.3762,8/6/2018,11:05:01
99,24.5,26.8,815.9,931,1.3764,8/6/2018,11:05:03
100,24.4,26.8,814.6,930,1.3765,8/6/2018,11:05:05
101,24.3,26.8,814.6,930,1.3768,8/6/2018,11:05:07
102,24.1,26.8,815.9,966,1.3769,8/6/2018,11:05:09
103,24.3,26.8,815.9,966,1.3772,8/6/2018,11:05:11
104,24.8,26.8,815,956,1.3773,8/6/2018,11:05:13
105,25.1,26.8,815,956,1.3776,8/6/2018,11:05:15
106,25.1,26.8,815.6,911,1.3776,8/6/2018,11:05:17
107,25.2,26.8,815.6,911,1.3779,8/6/2018,11:05:19
108,25.5,26.8,815.4,933,1.378,8/6/2018,11:05:21
109,25.8,26.8,815.4,933,1.3783,8/6/2018,11:05:23
110,26,26.9,815.7,980,1.3784,8/6/2018,11:05:25
111,25.8,26.9,815.7,980,1.3787,8/6/2018,11:05:27
112,25.5,26.8,814.8,933,1.3788,8/6/2018,11:05:29
113,25.1,26.8,814.8,933,1.379,8/6/2018,11:05:31
114,24.6,27,815.7,959,1.3791,8/6/2018,11:05:33
115,24.4,27,815.7,959,1.3794,8/6/2018,11:05:35
116,24.4,27,814.4,911,1.3795,8/6/2018,11:05:37
117,24.2,27,814.4,911,1.3797,8/6/2018,11:05:39
118,23.7,27,816,940,1.3798,8/6/2018,11:05:41
119,23.2,27,816,940,1.3801,8/6/2018,11:05:43
120,23.2,27.1,815.6,939,1.3802,8/6/2018,11:05:45
121,23.3,27.1,815.6,939,1.3805,8/6/2018,11:05:47
122,23.4,27,815.7,959,1.3806,8/6/2018,11:05:49
123,23.4,27,815.7,959,1.3809,8/6/2018,11:05:51
124,23.5,27.1,815.7,936,1.3809,8/6/2018,11:05:53
125,23.4,27.1,815.7,936,1.3812,8/6/2018,11:05:55
126,23.3,27.2,813.8,963,1.3813,8/6/2018,11:05:57
127,23.4,27.2,813.8,963,1.3816,8/6/2018,11:05:59
128,23.9,27.1,815.7,941,1.3816,8/6/2018,11:06:01
129,24.7,27.1,815.7,941,1.382,8/6/2018,11:06:03
130,25.4,27.2,815.9,994,1.382,8/6/2018,11:06:05
131,25.8,27.2,815.9,994,1.3823,8/6/2018,11:06:07
132,26.1,27.3,814.6,1002,1.3824,8/6/2018,11:06:09
133,26.3,27.3,814.6,1002,1.3827,8/6/2018,11:06:11
134,26.1,27.2,814.9,952,1.3827,8/6/2018,11:06:13
135,25.7,27.2,814.9,952,1.383,8/6/2018,11:06:15
136,25.6,27.3,816,980,1.3831,8/6/2018,11:06:17
137,25.6,27.3,816,980,1.3834,8/6/2018,11:06:19
138,25.6,27.3,815.4,941,1.3834,8/6/2018,11:06:21
139,25.4,27.3,815.4,941,1.3837,8/6/2018,11:06:23
140,25.1,27.3,814.2,952,1.3838,8/6/2018,11:06:25
141,24.9,27.3,814.2,952,1.3841,8/6/2018,11:06:27
142,25.2,27.3,814.6,975,1.3841,8/6/2018,11:06:29
143,25.8,27.3,814.6,975,1.3844,8/6/2018,11:06:31
144,26.2,27.3,815.8,932,1.3845,8/6/2018,11:06:33
145,26.5,27.3,815.8,932,1.3848,8/6/2018,11:06:35
146,26.8,27.3,815.4,963,1.3849,8/6/2018,11:06:37
147,26.8,27.3,815.4,963,1.3851,8/6/2018,11:06:39
148,26.7,27.3,815.1,1006,1.3852,8/6/2018,11:06:41
149,26.4,27.3,815.1,1006,1.3855,8/6/2018,11:06:43
150,26.2,27.3,813.9,928,1.3856,8/6/2018,11:06:45
151,25.9,27.3,813.9,928,1.3858,8/6/2018,11:06:47
152,25.5,27.3,814,924,1.3859,8/6/2018,11:06:49
153,25.4,27.3,814,924,1.3862,8/6/2018,11:06:51
154,25.8,27.3,815.5,966,1.3862,8/6/2018,11:06:53
155,26.4,27.3,815.5,966,1.3866,8/6/2018,11:06:55
156,26.6,27.3,815.4,931,1.3866,8/6/2018,11:06:57
157,26.5,27.3,815.4,931,1.3869,8/6/2018,11:06:59
158,26.5,27.3,815.7,958,1.387,8/6/2018,11:07:01
159,26.8,27.3,815.7,958,1.3873,8/6/2018,11:07:03
160,27.1,27.3,815.4,969,1.3873,8/6/2018,11:07:05
161,26.9,27.3,815.4,969,1.3876,8/6/2018,11:07:07
162,26.4,27.3,815.5,1009,1.3877,8/6/2018,11:07:09
163,25.9,27.3,815.5,1009,1.3879,8/6/2018,11:07:11
164,25.3,27.3,815.6,1034,1.388,8/6/2018,11:07:13
165,24.6,27.3,815.6,1034,1.3883,8/6/2018,11:07:15
166,24.2,27.3,815.6,1017,1.3883,8/6/2018,11:07:17
167,24.2,27.3,815.6,1017,1.3886,8/6/2018,11:07:19
168,24.4,27.3,815.6,1029,1.3887,8/6/2018,11:07:21
169,24.6,27.3,815.6,1029,1.389,8/6/2018,11:07:23
170,24.7,27.3,815.6,1035,1.389,8/6/2018,11:07:25
171,24.9,27.3,815.6,1035,1.3893,8/6/2018,11:07:27
172,24.9,27.3,815.9,1035,1.3894,8/6/2018,11:07:29
173,24.7,27.3,815.9,1035,1.3897,8/6/2018,11:07:31
174,24.5,27.3,815.8,1040,1.3897,8/6/2018,11:07:33
175,24.4,27.3,815.8,1040,1.39,8/6/2018,11:07:35
176,24.4,27.3,815.4,1028,1.3901,8/6/2018,11:07:37
177,24.5,27.3,815.4,1028,1.3903,8/6/2018,11:07:39
178,24.4,27.3,815,1028,1.3904,8/6/2018,11:07:41
179,24,27.3,815,1028,1.3907,8/6/2018,11:07:43
180,23.6,27.3,814.4,1011,1.3907,8/6/2018,11:07:45
181,23.9,27.3,814.4,1011,1.391,8/6/2018,11:07:47
182,24.4,27.3,813.9,977,1.3911,8/6/2018,11:07:49
183,24.8,27.3,813.9,977,1.3914,8/6/2018,11:07:51
184,25.2,27.3,814.1,940,1.3914,8/6/2018,11:07:53
185,25.6,27.3,814.1,940,1.3917,8/6/2018,11:07:55
186,25.7,27.3,814,902,1.3918,8/6/2018,11:07:57
187,25.5,27.3,814,902,1.392,8/6/2018,11:07:59
188,24.9,27.3,814.1,872,1.3921,8/6/2018,11:08:01
189,24.6,27.3,814.1,872,1.3924,8/6/2018,11:08:03
190,24.6,27.3,814.7,871,1.3924,8/6/2018,11:08:05
191,24.1,27.3,814.7,871,1.3927,8/6/2018,11:08:07
192,23.7,27.3,815.2,883,1.3928,8/6/2018,11:08:09
193,23.5,27.3,815.2,883,1.393,8/6/2018,11:08:11
194,23.1,27.4,815.5,871,1.3931,8/6/2018,11:08:13
195,22.7,27.4,815.5,871,1.3934,8/6/2018,11:08:15
196,22.7,27.4,815.5,887,1.3934,8/6/2018,11:08:17
197,23.1,27.4,815.5,887,1.3937,8/6/2018,11:08:19
198,23.9,27.4,814.5,889,1.3937,8/6/2018,11:08:21
199,24.6,27.4,814.5,889,1.394,8/6/2018,11:08:23
200,24.9,27.4,814,889,1.3941,8/6/2018,11:08:25
201,25.1,27.4,814,889,1.3943,8/6/2018,11:08:27
202,25.3,27.4,815,920,1.3944,8/6/2018,11:08:29
203,25.3,27.4,815,920,1.3947,8/6/2018,11:08:31
204,25.1,27.4,815.6,951,1.3947,8/6/2018,11:08:33
205,25.2,27.4,815.6,951,1.395,8/6/2018,11:08:35
206,25.4,27.6,815.2,966,1.3951,8/6/2018,11:08:37
207,25.1,27.6,815.2,966,1.3953,8/6/2018,11:08:39
208,24.5,27.6,813.8,966,1.3954,8/6/2018,11:08:41
209,23.9,27.6,813.8,966,1.3957,8/6/2018,11:08:43
210,23.9,27.5,815.4,970,1.3957,8/6/2018,11:08:45
211,24.2,27.5,815.4,970,1.396,8/6/2018,11:08:47
212,24.2,27.7,815.6,985,1.396,8/6/2018,11:08:49
213,24.5,27.7,815.6,985,1.3963,8/6/2018,11:08:51
214,24.6,27.7,814.2,927,1.3964,8/6/2018,11:08:53
215,24.4,27.7,814.2,927,1.3967,8/6/2018,11:08:55
216,24.2,27.7,813.8,908,1.3967,8/6/2018,11:08:57
217,24.1,27.7,813.8,908,1.397,8/6/2018,11:08:59
218,24.3,27.7,814.5,924,1.397,8/6/2018,11:09:01
219,24.7,27.7,814.5,924,1.3973,8/6/2018,11:09:03
220,24.8,27.7,815.6,952,1.3973,8/6/2018,11:09:05
221,25.1,27.7,815.6,952,1.3976,8/6/2018,11:09:07
222,25.7,27.8,813.9,956,1.3977,8/6/2018,11:09:09
223,25.8,27.8,813.9,956,1.3979,8/6/2018,11:09:11
224,25.5,27.8,815.3,934,1.398,8/6/2018,11:09:13
225,24.9,27.8,815.3,934,1.3982,8/6/2018,11:09:15
226,24.2,27.8,815.2,927,1.3983,8/6/2018,11:09:17
227,24,27.8,815.2,927,1.3986,8/6/2018,11:09:19
228,24,27.8,814.4,952,1.3986,8/6/2018,11:09:21
229,23.8,27.8,814.4,952,1.3989,8/6/2018,11:09:23
230,23.4,27.8,815.6,977,1.399,8/6/2018,11:09:25
231,22.8,27.8,815.6,977,1.3992,8/6/2018,11:09:27
232,21.9,27.8,813.3,907,1.3993,8/6/2018,11:09:29
233,21.5,27.8,813.3,907,1.3995,8/6/2018,11:09:31
234,21.8,27.8,815.3,949,1.3996,8/6/2018,11:09:33
235,22.7,27.8,815.3,949,1.3998,8/6/2018,11:09:35
236,23.2,27.8,814,949,1.3999,8/6/2018,11:09:37
237,23.6,27.8,814,949,1.4002,8/6/2018,11:09:39
238,23.9,27.8,815.5,1009,1.4002,8/6/2018,11:09:41
239,24.3,27.8,815.5,1009,1.4005,8/6/2018,11:09:43
240,24.6,27.8,814.1,934,1.4005,8/6/2018,11:09:45
