Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
1,-600.7,28.2,814.7,426,1.1684,8/6/2018,14:38:04
2,-1517.3,28.2,814.7,426,1.1728,8/6/2018,14:38:06
3,-1706.6,28.2,812.9,629,1.1772,8/6/2018,14:38:08
4,-1523.9,28.2,812.9,629,1.1815,8/6/2018,14:38:10
5,-1524.2,28.2,813,830,1.1858,8/6/2018,14:38:12
6,-1525.3,28.2,813,830,1.1901,8/6/2018,14:38:14
7,-1526.2,28.2,814.1,857,1.1941,8/6/2018,14:38:16
8,-1512.5,28.2,814.1,857,1.1982,8/6/2018,14:38:18
9,-1506.9,28.2,814.3,904,1.2022,8/6/2018,14:38:20
10,-1486.7,28.2,814.3,904,1.2061,8/6/2018,14:38:22
11,-921.8,28.2,814.3,947,1.21,8/6/2018,14:38:24
12,-5.9,28.2,814.3,947,1.2137,8/6/2018,14:38:26
13,182.1,28.2,813.2,937,1.2175,8/6/2018,14:38:28
14,-0.5,28.2,813.2,937,1.2211,8/6/2018,14:38:30
15,0,28.2,813.1,932,1.2247,8/6/2018,14:38:32
16,1,28.2,813.1,932,1.2282,8/6/2018,14:38:34
17,0.8,28.2,814.6,966,1.2315,8/6/2018,14:38:36
18,0.3,28.2,814.6,966,1.2349,8/6/2018,14:38:38
19,1.4,28.2,812.5,966,1.2381,8/6/2018,14:38:40
20,3.4,28.2,812.5,966,1.2414,8/6/2018,14:38:42
21,5.1,28.2,813.2,886,1.2444,8/6/2018,14:38:44
22,7.1,28.2,813.2,886,1.2475,8/6/2018,14:38:46
23,9.2,28.2,814.4,915,1.2504,8/6/2018,14:38:48
24,10.1,28.2,814.4,915,1.2534,8/6/2018,14:38:50
25,10.3,28.3,812.8,908,1.2562,8/6/2018,14:38:52
26,11.3,28.3,812.8,908,1.259,8/6/2018,14:38:54
27,12.3,28.2,813.7,923,1.2616,8/6/2018,14:38:56
28,13.1,28.2,813.7,923,1.2644,8/6/2018,14:38:58
29,14.4,28.3,814.5,940,1.2669,8/6/2018,14:39:00
30,15.3,28.3,814.5,940,1.2695,8/6/2018,14:39:02
31,16.3,28.3,814,915,1.2718,8/6/2018,14:39:04
32,18.4,28.3,814,915,1.2743,8/6/2018,14:39:06
33,20.4,28.3,813.9,926,1.2766,8/6/2018,14:39:08
34,22.4,28.3,813.9,926,1.279,8/6/2018,14:39:10
35,24.9,28.3,812.8,942,1.2811,8/6/2018,14:39:12
36,27.6,28.3,812.8,942,1.2834,8/6/2018,14:39:14
37,30.5,28.3,814.3,926,1.2854,8/6/2018,14:39:16
38,33.2,28.3,814.3,926,1.2877,8/6/2018,14:39:18
39,35.4,28.3,812.9,926,1.2895,8/6/2018,14:39:20
40,37.3,28.3,812.9,926,1.2916,8/6/2018,14:39:22
41,38.7,28.3,814.3,934,1.2934,8/6/2018,14:39:24
42,40.1,28.3,814.3,934,1.2954,8/6/2018,14:39:26
43,41.5,28.3,812.8,932,1.2972,8/6/2018,14:39:28
44,42.6,28.3,812.8,932,1.2992,8/6/2018,14:39:30
45,44.2,28.3,813.8,976,1.3007,8/6/2018,14:39:32
46,45.5,28.3,813.8,976,1.3026,8/6/2018,14:39:34
47,45.7,28.3,813.5,907,1.3041,8/6/2018,14:39:36
48,45,28.3,813.5,907,1.3059,8/6/2018,14:39:38
49,44.2,28.3,814,942,1.3073,8/6/2018,14:39:40
50,44.1,28.3,814,942,1.309,8/6/2018,14:39:42
51,43.9,28.3,812.9,886,1.3104,8/6/2018,14:39:44
52,43.3,28.3,812.9,886,1.3121,8/6/2018,14:39:46
53,43.7,28.3,814.2,920,1.3133,8/6/2018,14:39:48
54,44.9,28.3,814.2,920,1.3149,8/6/2018,14:39:50
55,45.3,28.3,813.6,929,1.3161,8/6/2018,14:39:52
56,45.2,28.3,813.6,929,1.3177,8/6/2018,14:39:54
57,45.2,28.3,813.6,936,1.3188,8/6/2018,14:39:56
58,46.1,28.3,813.6,936,1.3203,8/6/2018,14:39:58
59,48,28.3,814.1,932,1.3213,8/6/2018,14:40:00
60,50.4,28.3,814.1,932,1.3228,8/6/2018,14:40:02
61,52.7,28.3,812.5,929,1.3238,8/6/2018,14:40:04
62,54.5,28.3,812.5,929,1.3252,8/6/2018,14:40:06
63,55.3,28.3,814.2,952,1.3262,8/6/2018,14:40:08
64,55.2,28.3,814.2,952,1.3275,8/6/2018,14:40:10
65,55.6,28.3,814.5,947,1.3284,8/6/2018,14:40:12
66,57.1,28.3,814.5,947,1.3297,8/6/2018,14:40:14
67,58.4,28.3,813.5,989,1.3305,8/6/2018,14:40:16
68,59.5,28.3,813.5,989,1.3318,8/6/2018,14:40:18
69,59.9,28.3,812.4,939,1.3326,8/6/2018,14:40:20
70,59.6,28.3,812.4,939,1.3339,8/6/2018,14:40:22
71,59.7,28.3,814.3,947,1.3347,8/6/2018,14:40:24
72,59.9,28.3,814.3,947,1.3359,8/6/2018,14:40:26
73,60.7,28.3,814.3,965,1.3366,8/6/2018,14:40:28
74,62.9,28.3,814.3,965,1.3378,8/6/2018,14:40:30
75,64.5,28.3,813.7,932,1.3385,8/6/2018,14:40:32
76,64.8,28.3,813.7,932,1.3397,8/6/2018,14:40:34
77,65.7,28.3,814.5,993,1.3403,8/6/2018,14:40:36
78,67.1,28.3,814.5,993,1.3416,8/6/2018,14:40:38
79,68.3,28.3,814.5,952,1.3422,8/6/2018,14:40:40
80,68.7,28.3,814.5,952,1.3433,8/6/2018,14:40:42
81,68.8,28.3,813.3,968,1.3439,8/6/2018,14:40:44
82,69.9,28.3,813.3,968,1.3451,8/6/2018,14:40:46
83,70.8,28.3,812.7,968,1.3456,8/6/2018,14:40:48
84,71.1,28.3,812.7,968,1.3467,8/6/2018,14:40:50
85,71.8,28.3,813.7,921,1.3472,8/6/2018,14:40:52
86,72.5,28.3,813.7,921,1.3484,8/6/2018,14:40:54
87,72.7,28.3,812.9,894,1.3488,8/6/2018,14:40:56
88,72.9,28.3,812.9,894,1.35,8/6/2018,14:40:58
89,73.5,28.3,814.2,909,1.3504,8/6/2018,14:41:00
90,75,28.3,814.2,909,1.3515,8/6/2018,14:41:02
91,76.6,28.3,814.8,949,1.352,8/6/2018,14:41:04
92,77,28.3,814.8,949,1.353,8/6/2018,14:41:06
93,77.6,28.3,814.4,925,1.3534,8/6/2018,14:41:08
94,79.3,28.3,814.4,925,1.3545,8/6/2018,14:41:10
95,81.4,28.3,813.8,950,1.3548,8/6/2018,14:41:12
96,83.5,28.3,813.8,950,1.3559,8/6/2018,14:41:14
97,85,28.3,813.5,975,1.3563,8/6/2018,14:41:16
98,85.1,28.3,813.5,975,1.3573,8/6/2018,14:41:18
99,84.8,28.3,812.6,910,1.3576,8/6/2018,14:41:20
100,85.1,28.3,812.6,910,1.3586,8/6/2018,14:41:22
101,86.4,28.3,813.4,892,1.3588,8/6/2018,14:41:24
102,89.1,28.3,813.4,892,1.3599,8/6/2018,14:41:26
103,91.6,28.3,813.8,899,1.3601,8/6/2018,14:41:28
104,92.4,28.3,813.8,899,1.3611,8/6/2018,14:41:30
105,92.3,28.3,814.2,916,1.3613,8/6/2018,14:41:32
106,92.1,28.3,814.2,916,1.3622,8/6/2018,14:41:34
107,92.9,28.3,814.6,922,1.3623,8/6/2018,14:41:36
108,94.9,28.3,814.6,922,1.3633,8/6/2018,14:41:38
109,96.6,28.3,814.4,961,1.3634,8/6/2018,14:41:40
110,97.2,28.3,814.4,961,1.3643,8/6/2018,14:41:42
111,97.1,28.3,814.1,949,1.3644,8/6/2018,14:41:44
112,96.2,28.3,814.1,949,1.3652,8/6/2018,14:41:46
113,95.5,28.3,814.3,981,1.3652,8/6/2018,14:41:48
114,95.6,28.3,814.3,981,1.3661,8/6/2018,14:41:50
115,96,28.3,814.3,946,1.3661,8/6/2018,14:41:52
116,96.3,28.3,814.3,946,1.3669,8/6/2018,14:41:54
117,96.2,28.3,814.4,978,1.3669,8/6/2018,14:41:56
118,95.5,28.3,814.4,978,1.3677,8/6/2018,14:41:58
119,95.2,28.3,814.3,989,1.3677,8/6/2018,14:42:00
120,95.8,28.3,814.3,989,1.3684,8/6/2018,14:42:02
121,96.8,28.3,814.2,989,1.3683,8/6/2018,14:42:04
122,97.8,28.3,814.2,989,1.3691,8/6/2018,14:42:06
123,98.1,28.3,813.8,989,1.3691,8/6/2018,14:42:08
124,97.3,28.3,813.8,989,1.3698,8/6/2018,14:42:10
125,97.3,28.3,812.6,989,1.3697,8/6/2018,14:42:12
126,98.3,28.3,812.6,989,1.3704,8/6/2018,14:42:14
127,98.8,28.3,812.4,984,1.3703,8/6/2018,14:42:16
128,98.9,28.3,812.4,984,1.371,8/6/2018,14:42:18
129,99.2,28.3,812.6,954,1.3709,8/6/2018,14:42:20
130,99.5,28.3,812.6,954,1.3716,8/6/2018,14:42:22
131,99.5,28.3,813,928,1.3714,8/6/2018,14:42:24
132,99.4,28.3,813,928,1.3721,8/6/2018,14:42:26
133,99.9,28.3,813.5,938,1.3719,8/6/2018,14:42:28
134,101,28.3,813.5,938,1.3726,8/6/2018,14:42:30
135,101.5,28.3,813.8,945,1.3724,8/6/2018,14:42:32
136,101.6,28.3,813.8,945,1.3731,8/6/2018,14:42:34
137,102.1,28.3,814.1,938,1.3729,8/6/2018,14:42:36
138,103,28.3,814.1,938,1.3736,8/6/2018,14:42:38
139,103.8,28.3,814.2,932,1.3734,8/6/2018,14:42:40
140,104.1,28.3,814.2,932,1.3741,8/6/2018,14:42:42
141,104.7,28.3,814.1,960,1.3738,8/6/2018,14:42:44
142,105.9,28.3,814.1,960,1.3745,8/6/2018,14:42:46
143,107.2,28.3,814,968,1.3742,8/6/2018,14:42:48
144,108.6,28.3,814,968,1.3749,8/6/2018,14:42:50
145,110.1,28.3,813.2,968,1.3746,8/6/2018,14:42:52
146,111.8,28.3,813.2,968,1.3753,8/6/2018,14:42:54
147,113.8,28.3,812.1,968,1.375,8/6/2018,14:42:56
148,115.8,28.3,812.1,968,1.3757,8/6/2018,14:42:58
149,117.6,28.3,813,975,1.3754,8/6/2018,14:43:00
150,119.1,28.3,813,975,1.3761,8/6/2018,14:43:02
151,119.7,28.3,814.2,987,1.3758,8/6/2018,14:43:04
152,119.4,28.3,814.2,987,1.3765,8/6/2018,14:43:06
153,119.1,28.3,814.2,991,1.3761,8/6/2018,14:43:08
154,118.8,28.3,814.2,991,1.3768,8/6/2018,14:43:10
155,118.2,28.3,813.8,982,1.3765,8/6/2018,14:43:12
156,117.1,28.3,813.8,982,1.3772,8/6/2018,14:43:14
157,115.7,28.4,812.3,936,1.3769,8/6/2018,14:43:16
158,114.3,28.4,812.3,936,1.3775,8/6/2018,14:43:18
159,113.4,28.3,812.4,933,1.3772,8/6/2018,14:43:20
160,113.3,28.3,812.4,933,1.3778,8/6/2018,14:43:22
161,113.7,28.3,813.7,912,1.3775,8/6/2018,14:43:24
162,114.1,28.3,813.7,912,1.3782,8/6/2018,14:43:26
163,114.4,28.4,814.4,926,1.3778,8/6/2018,14:43:28
164,115.2,28.4,814.4,926,1.3785,8/6/2018,14:43:30
165,116,28.5,813.2,926,1.3782,8/6/2018,14:43:32
166,116.6,28.5,813.2,926,1.3788,8/6/2018,14:43:34
167,118.1,28.5,812.8,939,1.3784,8/6/2018,14:43:36
168,121.1,28.5,812.8,939,1.3792,8/6/2018,14:43:38
169,123.2,28.4,814.1,944,1.3788,8/6/2018,14:43:40
170,123.3,28.4,814.1,944,1.3794,8/6/2018,14:43:42
