Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
1,26.4,24.4,815.7,812,1.2802,11/6/2018,10:12:26
2,64.7,24.4,815.4,813,1.2805,11/6/2018,10:12:28
3,72.2,24.4,815.4,813,1.2809,11/6/2018,10:12:30
4,64.2,24.4,816.3,883,1.2812,11/6/2018,10:12:32
5,64.3,24.4,816.3,883,1.2815,11/6/2018,10:12:34
6,64.9,24.4,816,858,1.2818,11/6/2018,10:12:36
7,65,24.4,816,858,1.2822,11/6/2018,10:12:38
8,65.1,24.4,815.5,869,1.2825,11/6/2018,10:12:40
9,65.2,24.4,815.5,869,1.2828,11/6/2018,10:12:42
10,64.9,24.4,815.3,846,1.2831,11/6/2018,10:12:44
11,41.6,24.4,815.3,846,1.2834,11/6/2018,10:12:46
12,3.2,24.4,815.3,869,1.2837,11/6/2018,10:12:48
13,-4.7,24.4,815.3,869,1.284,11/6/2018,10:12:50
14,2.9,24.4,816,857,1.2843,11/6/2018,10:12:52
15,3.2,24.4,816,857,1.2846,11/6/2018,10:12:54
16,3.1,24.4,815.9,881,1.2849,11/6/2018,10:12:56
17,2.9,24.4,815.9,881,1.2853,11/6/2018,10:12:58
18,3,24.4,815.8,866,1.2855,11/6/2018,10:13:00
19,2.9,24.4,815.8,866,1.2858,11/6/2018,10:13:02
20,2.6,24.4,815.7,866,1.2861,11/6/2018,10:13:04
21,2.4,24.4,815.7,866,1.2864,11/6/2018,10:13:06
22,2.7,24.4,815.5,892,1.2867,11/6/2018,10:13:08
23,3.3,24.4,815.5,892,1.287,11/6/2018,10:13:10
24,3.6,24.4,815.3,827,1.2873,11/6/2018,10:13:12
25,3.5,24.4,815.3,827,1.2876,11/6/2018,10:13:14
26,3.5,24.5,815,801,1.2878,11/6/2018,10:13:16
27,3.7,24.5,815,801,1.2881,11/6/2018,10:13:18
28,3.9,24.5,815.1,802,1.2884,11/6/2018,10:13:20
29,4.3,24.5,815.1,802,1.2887,11/6/2018,10:13:22
30,5.4,24.6,815.2,817,1.289,11/6/2018,10:13:24
31,5.9,24.6,815.2,817,1.2892,11/6/2018,10:13:26
32,5.5,24.6,815.5,793,1.2895,11/6/2018,10:13:28
33,5.3,24.6,815.5,793,1.2898,11/6/2018,10:13:30
34,5.9,24.7,816.3,776,1.29,11/6/2018,10:13:32
35,6.9,24.7,816.3,776,1.2904,11/6/2018,10:13:34
36,8,24.6,816.2,800,1.2906,11/6/2018,10:13:36
37,8.6,24.6,816.2,800,1.2909,11/6/2018,10:13:38
38,8.7,24.6,816.3,790,1.2911,11/6/2018,10:13:40
39,8.7,24.6,816.3,790,1.2914,11/6/2018,10:13:42
40,8.9,24.6,816.3,800,1.2916,11/6/2018,10:13:44
41,9.2,24.6,816.3,800,1.292,11/6/2018,10:13:46
42,10,24.8,815.7,837,1.2922,11/6/2018,10:13:48
43,10.5,24.8,815.7,837,1.2925,11/6/2018,10:13:50
44,10.6,24.8,815.2,844,1.2927,11/6/2018,10:13:52
45,10.6,24.8,815.2,844,1.293,11/6/2018,10:13:54
46,10.7,24.8,815.5,844,1.2932,11/6/2018,10:13:56
47,11.5,24.8,815.5,844,1.2935,11/6/2018,10:13:58
48,12.7,24.8,816.1,867,1.2937,11/6/2018,10:14:00
49,13.5,24.8,816.1,867,1.294,11/6/2018,10:14:02
50,14.1,24.8,816,895,1.2942,11/6/2018,10:14:04
51,14.9,24.8,816,895,1.2945,11/6/2018,10:14:06
52,15.1,24.8,815.3,909,1.2947,11/6/2018,10:14:08
53,15.3,24.8,815.3,909,1.295,11/6/2018,10:14:10
54,15.8,24.8,815.8,909,1.2952,11/6/2018,10:14:12
55,16.4,24.8,815.8,909,1.2955,11/6/2018,10:14:14
56,16.9,24.8,816,915,1.2957,11/6/2018,10:14:16
57,17,24.8,816,915,1.296,11/6/2018,10:14:18
58,16.7,24.8,815.5,908,1.2962,11/6/2018,10:14:20
59,16.3,24.8,815.5,908,1.2965,11/6/2018,10:14:22
60,15.8,24.8,815.8,874,1.2967,11/6/2018,10:14:24
61,15.3,24.8,815.8,874,1.297,11/6/2018,10:14:26
62,15.2,24.8,815.8,856,1.2972,11/6/2018,10:14:28
63,15.3,24.8,815.8,856,1.2975,11/6/2018,10:14:30
64,15.1,24.8,815.7,899,1.2977,11/6/2018,10:14:32
65,14.8,24.8,815.7,899,1.298,11/6/2018,10:14:34
66,14.5,24.8,815.7,883,1.2981,11/6/2018,10:14:36
67,14.7,24.8,815.7,883,1.2985,11/6/2018,10:14:38
68,15.3,24.8,816,938,1.2986,11/6/2018,10:14:40
69,16,24.8,816,938,1.2989,11/6/2018,10:14:42
70,16.7,24.8,815.3,868,1.2991,11/6/2018,10:14:44
71,17.1,24.8,815.3,868,1.2994,11/6/2018,10:14:46
72,17.5,24.8,815.8,899,1.2996,11/6/2018,10:14:48
73,18,24.8,815.8,899,1.2999,11/6/2018,10:14:50
74,18.4,24.8,814.9,907,1.3,11/6/2018,10:14:52
75,18.6,24.8,814.9,907,1.3004,11/6/2018,10:14:54
76,18.9,24.8,815.7,891,1.3005,11/6/2018,10:14:56
77,19.1,24.8,815.7,891,1.3008,11/6/2018,10:14:58
78,19.3,24.8,815,881,1.301,11/6/2018,10:15:00
79,19.5,24.8,815,881,1.3013,11/6/2018,10:15:02
80,20,24.8,815.9,901,1.3014,11/6/2018,10:15:04
81,20.7,24.8,815.9,901,1.3018,11/6/2018,10:15:06
82,21.2,24.8,815.7,873,1.3019,11/6/2018,10:15:08
83,21.5,24.8,815.7,873,1.3022,11/6/2018,10:15:10
84,21.6,24.8,814.8,870,1.3024,11/6/2018,10:15:12
85,21.5,24.8,814.8,870,1.3027,11/6/2018,10:15:14
86,21.6,24.8,815.8,921,1.3028,11/6/2018,10:15:16
87,21.6,24.8,815.8,921,1.3031,11/6/2018,10:15:18
