Timestamp,ID,Temp,Humidity,CO,NOX,HEATER ON
12:00:01,A81B6A77FEE8,32.389,15.375,5,1906,1
12:00:06,A81B6A77FEE8,32.359,15.375,5,1907,1
12:00:11,A81B6A77FEE8,32.318,15.375,5,1910,1
12:00:16,A81B6A77FEE8,32.268,15.375,5,1915,1
12:00:22,A81B6A77FEE8,32.288,15.375,5,1916,1
12:00:27,A81B6A77FEE8,32.328,15.277,5,1921,1
12:00:32,A81B6A77FEE8,32.349,15.375,5,1923,1
12:00:37,A81B6A77FEE8,32.328,15.375,5,1927,1
12:00:42,A81B6A77FEE8,32.419,15.375,5,1928,1
12:00:47,A81B6A77FEE8,32.248,15.375,6,1936,1
12:00:52,A81B6A77FEE8,32.328,15.277,5,1938,1
12:00:58,A81B6A77FEE8,32.359,15.375,6,1942,1
12:01:03,A81B6A77FEE8,32.359,15.375,5,1945,1
12:01:08,A81B6A77FEE8,32.369,15.375,5,1947,1
12:01:13,A81B6A77FEE8,32.318,15.375,6,1953,1
12:01:18,A81B6A77FEE8,32.349,15.375,5,1957,1
12:01:23,A81B6A77FEE8,32.349,15.375,6,1959,1
12:01:28,A81B6A77FEE8,32.328,15.375,6,1962,1
12:01:34,A81B6A77FEE8,32.359,15.375,6,1965,1
12:01:39,A81B6A77FEE8,32.399,15.375,5,1968,1
12:01:44,A81B6A77FEE8,32.328,15.375,5,1969,1
12:01:49,A81B6A77FEE8,32.419,15.375,6,1971,1
12:01:54,A81B6A77FEE8,32.359,15.375,5,1973,1
12:01:59,A81B6A77FEE8,32.369,15.375,5,1973,1
12:02:04,A81B6A77FEE8,32.419,15.375,5,1975,1
12:02:09,A81B6A77FEE8,32.389,15.375,5,1980,1
12:02:15,A81B6A77FEE8,32.389,15.375,5,1983,1
12:02:20,A81B6A77FEE8,32.359,15.375,5,1985,1
12:02:25,A81B6A77FEE8,32.419,15.375,6,1987,1
12:02:30,A81B6A77FEE8,32.349,15.375,6,1989,1
12:02:35,A81B6A77FEE8,32.389,15.375,6,1990,1
12:02:40,A81B6A77FEE8,32.349,15.375,5,1991,1
12:02:45,A81B6A77FEE8,32.429,15.369,6,1993,1
12:02:51,A81B6A77FEE8,32.369,15.375,5,1994,1
12:02:56,A81B6A77FEE8,32.369,15.375,6,1995,1
12:03:01,A81B6A77FEE8,32.429,15.369,6,1996,1
12:03:06,A81B6A77FEE8,32.419,15.375,6,1998,1
12:03:11,A81B6A77FEE8,32.399,15.375,5,1998,1
12:03:16,A81B6A77FEE8,32.328,15.375,5,1998,1
12:03:21,A81B6A77FEE8,32.439,15.369,5,1999,1
12:03:27,A81B6A77FEE8,32.439,15.369,6,1999,1
12:03:32,A81B6A77FEE8,32.469,15.369,5,1997,1
12:03:37,A81B6A77FEE8,32.369,15.375,6,1998,1
12:03:42,A81B6A77FEE8,32.469,15.369,5,1998,1
12:03:47,A81B6A77FEE8,32.389,15.375,5,2001,1
12:03:52,A81B6A77FEE8,32.369,15.375,6,2001,1
12:03:57,A81B6A77FEE8,32.439,15.369,5,2002,1
12:04:02,A81B6A77FEE8,32.419,15.375,5,2003,1
