Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
1,47.6,29.2,814.4,946,1.4442,19/06/18,14:33:03
2,118.5,29.3,815,970,1.4442,19/06/18,14:33:05
3,133,29.3,815,970,1.4443,19/06/18,14:33:07
4,119.1,29.2,815.9,968,1.4444,19/06/18,14:33:09
5,119.3,29.2,815.9,968,1.4445,19/06/18,14:33:11
6,119.5,29.3,816.1,939,1.4446,19/06/18,14:33:13
7,120.1,29.3,816.1,939,1.4447,19/06/18,14:33:15
8,121.1,29.3,814.3,942,1.4447,19/06/18,14:33:17
9,122.6,29.3,814.3,942,1.4449,19/06/18,14:33:19
10,124.1,29.3,816.4,980,1.4449,19/06/18,14:33:21
11,82.6,29.3,816.4,980,1.445,19/06/18,14:33:23
12,12.7,29.3,815.3,950,1.4451,19/06/18,14:33:25
13,-0.9,29.3,815.3,950,1.4452,19/06/18,14:33:27
14,14,29.3,814.5,950,1.4452,19/06/18,14:33:29
15,15.3,29.3,814.5,950,1.4454,19/06/18,14:33:31
16,16.7,29.3,815.9,948,1.4454,19/06/18,14:33:33
17,18.4,29.3,815.9,948,1.4456,19/06/18,14:33:35
18,20.3,29.4,816,934,1.4455,19/06/18,14:33:37
19,21.7,29.4,816,934,1.4458,19/06/18,14:33:39
20,23.4,29.4,814,934,1.4456,19/06/18,14:33:41
21,25.8,29.4,814,934,1.4459,19/06/18,14:33:43
22,28.7,29.3,815.9,917,1.4458,19/06/18,14:33:45
23,31.6,29.3,815.9,917,1.4461,19/06/18,14:33:47
24,34,29.4,816.1,982,1.446,19/06/18,14:33:49
25,35.9,29.4,816.1,982,1.4463,19/06/18,14:33:51
26,37.8,29.5,814.2,930,1.4462,19/06/18,14:33:53
27,39.6,29.5,814.2,930,1.4465,19/06/18,14:33:55
28,41.3,29.4,816.3,964,1.4463,19/06/18,14:33:57
29,42.9,29.4,816.3,964,1.4466,19/06/18,14:33:59
30,43.7,29.5,815.5,989,1.4465,19/06/18,14:34:01
31,43.8,29.5,815.5,989,1.4468,19/06/18,14:34:03
32,44.2,29.5,814.3,937,1.4467,19/06/18,14:34:05
