106-L,M
From 20/06/2018 13:03:06 to 20/06/2018 15:32:56
Port: COM4
Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
Int32,Decimal,Decimal,Decimal,Int32,Decimal,Date,Time
1,22.2,28.8,817.4,905,1.3818,20/06/18,13:03:06
2,45.2,28.8,817.3,915,1.3818,20/06/18,13:03:08
3,50.0,28.8,817.3,915,1.3819,20/06/18,13:03:10
4,45.4,28.8,816.6,888,1.3820,20/06/18,13:03:12
5,45.4,28.8,816.6,888,1.3821,20/06/18,13:03:14
6,45.3,28.8,816.4,902,1.3822,20/06/18,13:03:16
7,44.9,28.8,816.4,902,1.3823,20/06/18,13:03:18
8,44.6,28.8,817.0,889,1.3823,20/06/18,13:03:20
9,45.1,28.8,817.0,889,1.3824,20/06/18,13:03:22
10,46.0,28.8,815.6,903,1.3824,20/06/18,13:03:24
11,33.4,28.8,815.6,903,1.3826,20/06/18,13:03:26
12,11.7,28.8,817.3,924,1.3826,20/06/18,13:03:28
13,8.4,28.8,817.3,924,1.3828,20/06/18,13:03:30
14,14.8,28.8,815.4,919,1.3827,20/06/18,13:03:32
15,17.3,28.8,815.4,919,1.3829,20/06/18,13:03:34
16,19.8,28.8,817.4,943,1.3829,20/06/18,13:03:36
17,22.5,28.8,817.4,943,1.3831,20/06/18,13:03:38
18,25.7,28.9,815.2,935,1.3830,20/06/18,13:03:40
19,29.0,28.9,815.2,935,1.3833,20/06/18,13:03:42
20,32.1,28.8,817.7,923,1.3832,20/06/18,13:03:44
21,35.0,28.8,817.7,923,1.3835,20/06/18,13:03:46
22,37.8,28.9,816.2,947,1.3833,20/06/18,13:03:48
23,40.7,28.9,816.2,947,1.3836,20/06/18,13:03:50
24,43.3,29.0,816.1,923,1.3835,20/06/18,13:03:52
25,45.5,29.0,816.1,923,1.3838,20/06/18,13:03:54
26,47.6,28.9,817.1,962,1.3837,20/06/18,13:03:56
27,49.8,28.9,817.1,962,1.3840,20/06/18,13:03:58
28,51.7,29.0,815.5,928,1.3838,20/06/18,13:04:00
29,53.2,29.0,815.5,928,1.3842,20/06/18,13:04:02
30,54.5,28.9,817.1,945,1.3840,20/06/18,13:04:04
31,55.7,28.9,817.1,945,1.3843,20/06/18,13:04:06
32,56.9,29.1,817.0,928,1.3841,20/06/18,13:04:08
33,58.2,29.1,817.0,928,1.3845,20/06/18,13:04:10
34,59.5,29.1,815.3,927,1.3843,20/06/18,13:04:12
35,60.8,29.1,815.3,927,1.3847,20/06/18,13:04:14
36,61.6,29.0,817.4,921,1.3845,20/06/18,13:04:16
37,62.0,29.0,817.4,921,1.3849,20/06/18,13:04:18
38,62.5,29.1,816.3,953,1.3847,20/06/18,13:04:20
39,63.5,29.1,816.3,953,1.3851,20/06/18,13:04:22
40,65.0,29.2,815.8,954,1.3848,20/06/18,13:04:24
41,66.5,29.2,815.8,954,1.3852,20/06/18,13:04:26
42,67.4,29.1,817.2,949,1.3850,20/06/18,13:04:28
43,67.9,29.1,817.2,949,1.3854,20/06/18,13:04:30
44,68.1,29.2,815.6,974,1.3852,20/06/18,13:04:32
45,68.7,29.2,815.6,974,1.3856,20/06/18,13:04:34
46,70.1,29.2,816.0,930,1.3853,20/06/18,13:04:36
47,72.1,29.2,816.0,930,1.3858,20/06/18,13:04:38
48,73.9,29.2,817.1,963,1.3855,20/06/18,13:04:40
49,75.0,29.2,817.1,963,1.3860,20/06/18,13:04:42
50,75.8,29.2,815.2,958,1.3857,20/06/18,13:04:44
51,76.4,29.2,815.2,958,1.3861,20/06/18,13:04:46
52,77.4,29.2,817.1,936,1.3858,20/06/18,13:04:48
53,79.2,29.2,817.1,936,1.3863,20/06/18,13:04:50
54,81.4,29.2,817.1,965,1.3860,20/06/18,13:04:52
55,83.0,29.2,817.1,965,1.3865,20/06/18,13:04:54
56,84.1,29.2,814.9,986,1.3862,20/06/18,13:04:56
57,85.2,29.2,814.9,986,1.3867,20/06/18,13:04:58
58,86.6,29.2,816.5,932,1.3863,20/06/18,13:05:00
59,88.1,29.2,816.5,932,1.3868,20/06/18,13:05:02
60,89.6,29.2,816.9,959,1.3865,20/06/18,13:05:04
61,90.8,29.2,816.9,959,1.3870,20/06/18,13:05:06
62,91.8,29.2,816.6,943,1.3867,20/06/18,13:05:08
63,92.7,29.2,816.6,943,1.3872,20/06/18,13:05:10
64,93.5,29.2,815.3,941,1.3869,20/06/18,13:05:12
65,94.3,29.2,815.3,941,1.3874,20/06/18,13:05:14
66,94.9,29.2,816.4,970,1.3871,20/06/18,13:05:16
67,95.2,29.2,816.4,970,1.3876,20/06/18,13:05:18
68,95.7,29.2,817.2,940,1.3872,20/06/18,13:05:20
69,96.6,29.2,817.2,940,1.3877,20/06/18,13:05:22
70,97.7,29.2,815.9,959,1.3874,20/06/18,13:05:24
71,99.3,29.2,815.9,959,1.3879,20/06/18,13:05:26
72,100.7,29.2,815.2,979,1.3875,20/06/18,13:05:28
73,101.7,29.2,815.2,979,1.3881,20/06/18,13:05:30
74,102.8,29.2,817.1,929,1.3877,20/06/18,13:05:32
75,104.1,29.2,817.1,929,1.3883,20/06/18,13:05:34
76,105.8,29.2,817.2,956,1.3879,20/06/18,13:05:36
77,107.7,29.2,817.2,956,1.3885,20/06/18,13:05:38
78,108.9,29.2,816.9,975,1.3881,20/06/18,13:05:40
79,109.5,29.2,816.9,975,1.3886,20/06/18,13:05:42
80,109.8,29.2,815.3,976,1.3882,20/06/18,13:05:44
81,109.9,29.2,815.3,976,1.3888,20/06/18,13:05:46
82,110.6,29.2,817.7,948,1.3884,20/06/18,13:05:48
83,112.0,29.2,817.7,948,1.3890,20/06/18,13:05:50
84,113.1,29.2,817.1,969,1.3886,20/06/18,13:05:52
85,113.9,29.2,817.1,969,1.3892,20/06/18,13:05:54
86,114.4,29.2,816.0,983,1.3887,20/06/18,13:05:56
87,114.9,29.2,816.0,983,1.3893,20/06/18,13:05:58
88,115.5,29.2,816.2,950,1.3889,20/06/18,13:06:00
89,116.4,29.2,816.2,950,1.3895,20/06/18,13:06:02
90,117.6,29.2,817.1,932,1.3891,20/06/18,13:06:04
91,118.9,29.2,817.1,932,1.3897,20/06/18,13:06:06
92,119.9,29.2,817.5,957,1.3893,20/06/18,13:06:08
93,120.2,29.2,817.5,957,1.3899,20/06/18,13:06:10
94,120.2,29.2,817.1,984,1.3894,20/06/18,13:06:12
95,120.6,29.2,817.1,984,1.3901,20/06/18,13:06:14
96,121.3,29.2,815.7,931,1.3896,20/06/18,13:06:16
97,121.9,29.2,815.7,931,1.3902,20/06/18,13:06:18
98,122.5,29.2,816.2,940,1.3898,20/06/18,13:06:20
99,123.1,29.2,816.2,940,1.3904,20/06/18,13:06:22
100,123.9,29.2,817.7,934,1.3899,20/06/18,13:06:24
101,124.9,29.2,817.7,934,1.3906,20/06/18,13:06:26
102,125.7,29.2,817.6,946,1.3901,20/06/18,13:06:28
103,126.4,29.2,817.6,946,1.3908,20/06/18,13:06:30
104,127.6,29.2,816.8,932,1.3903,20/06/18,13:06:32
105,128.7,29.2,816.8,932,1.3909,20/06/18,13:06:34
106,129.3,29.2,815.4,952,1.3905,20/06/18,13:06:36
107,129.8,29.2,815.4,952,1.3911,20/06/18,13:06:38
108,130.5,29.2,815.6,952,1.3906,20/06/18,13:06:40
109,131.5,29.2,815.6,952,1.3913,20/06/18,13:06:42
110,132.2,29.2,816.2,947,1.3908,20/06/18,13:06:44
111,132.6,29.2,816.2,947,1.3915,20/06/18,13:06:46
112,133.2,29.2,817.4,948,1.3910,20/06/18,13:06:48
113,133.7,29.2,817.4,948,1.3917,20/06/18,13:06:50
114,134.0,29.2,817.3,927,1.3911,20/06/18,13:06:52
115,134.6,29.2,817.3,927,1.3918,20/06/18,13:06:54
116,135.8,29.2,816.0,942,1.3913,20/06/18,13:06:56
117,137.0,29.2,816.0,942,1.3920,20/06/18,13:06:58
118,138.1,29.2,815.2,942,1.3915,20/06/18,13:07:00
119,139.1,29.2,815.2,942,1.3922,20/06/18,13:07:02
120,140.1,29.2,816.0,934,1.3916,20/06/18,13:07:04
121,140.9,29.2,816.0,934,1.3923,20/06/18,13:07:06
122,141.4,29.2,817.1,923,1.3918,20/06/18,13:07:08
123,142.1,29.2,817.1,923,1.3925,20/06/18,13:07:10
124,142.7,29.2,817.4,917,1.3920,20/06/18,13:07:12
125,143.3,29.2,817.4,917,1.3927,20/06/18,13:07:14
126,143.9,29.2,817.4,922,1.3922,20/06/18,13:07:16
127,144.6,29.2,817.4,922,1.3929,20/06/18,13:07:18
128,145.1,29.2,816.6,944,1.3923,20/06/18,13:07:20
129,145.2,29.2,816.6,944,1.3930,20/06/18,13:07:22
130,145.0,29.2,815.7,959,1.3925,20/06/18,13:07:24
131,145.1,29.2,815.7,959,1.3932,20/06/18,13:07:26
132,145.9,29.2,814.8,974,1.3927,20/06/18,13:07:28
133,147.1,29.2,814.8,974,1.3934,20/06/18,13:07:30
134,148.2,29.2,815.3,947,1.3928,20/06/18,13:07:32
135,149.0,29.2,815.3,947,1.3936,20/06/18,13:07:34
136,149.6,29.2,816.4,920,1.3930,20/06/18,13:07:36
137,150.4,29.2,816.4,920,1.3937,20/06/18,13:07:38
138,151.0,29.2,817.0,924,1.3932,20/06/18,13:07:40
139,151.7,29.2,817.0,924,1.3939,20/06/18,13:07:42
140,152.6,29.2,817.1,942,1.3933,20/06/18,13:07:44
141,153.0,29.2,817.1,942,1.3941,20/06/18,13:07:46
142,153.1,29.2,817.2,949,1.3935,20/06/18,13:07:48
143,153.3,29.2,817.2,949,1.3943,20/06/18,13:07:50
144,153.9,29.2,817.0,967,1.3937,20/06/18,13:07:52
145,154.7,29.2,817.0,967,1.3944,20/06/18,13:07:54
146,155.1,29.2,816.8,959,1.3938,20/06/18,13:07:56
147,155.1,29.2,816.8,959,1.3946,20/06/18,13:07:58
148,155.1,29.2,815.2,947,1.3940,20/06/18,13:08:00
149,155.1,29.2,815.2,947,1.3948,20/06/18,13:08:02
150,155.4,29.2,815.3,921,1.3942,20/06/18,13:08:04
151,156.3,29.2,815.3,921,1.3949,20/06/18,13:08:06
152,157.3,29.2,815.5,916,1.3943,20/06/18,13:08:08
153,157.9,29.2,815.5,916,1.3951,20/06/18,13:08:10
154,157.9,29.2,816.3,916,1.3945,20/06/18,13:08:12
155,157.9,29.2,816.3,916,1.3953,20/06/18,13:08:14
156,158.3,29.2,816.9,916,1.3947,20/06/18,13:08:16
157,159.0,29.2,816.9,916,1.3954,20/06/18,13:08:18
158,159.4,29.3,817.3,916,1.3948,20/06/18,13:08:20
159,159.6,29.3,817.3,916,1.3956,20/06/18,13:08:22
160,160.0,29.3,817.5,905,1.3950,20/06/18,13:08:24
161,160.0,29.3,817.5,905,1.3958,20/06/18,13:08:26
162,160.0,29.3,817.4,906,1.3951,20/06/18,13:08:28
163,160.3,29.3,817.4,906,1.3959,20/06/18,13:08:30
164,160.7,29.3,817.4,917,1.3953,20/06/18,13:08:32
165,161.0,29.3,817.4,917,1.3961,20/06/18,13:08:34
166,160.9,29.3,817.1,906,1.3955,20/06/18,13:08:36
167,160.8,29.3,817.1,906,1.3963,20/06/18,13:08:38
168,161.4,29.3,817.3,917,1.3956,20/06/18,13:08:40
169,162.3,29.3,817.3,917,1.3965,20/06/18,13:08:42
170,162.9,29.3,816.9,942,1.3958,20/06/18,13:08:44
171,163.7,29.3,816.9,942,1.3966,20/06/18,13:08:46
172,164.3,29.4,817.1,965,1.3960,20/06/18,13:08:48
173,164.6,29.4,817.1,965,1.3968,20/06/18,13:08:50
174,164.7,29.4,816.5,985,1.3961,20/06/18,13:08:52
175,165.0,29.4,816.5,985,1.3970,20/06/18,13:08:54
176,165.6,29.4,816.7,994,1.3963,20/06/18,13:08:56
177,166.4,29.4,816.7,994,1.3971,20/06/18,13:08:58
178,166.7,29.5,815.8,994,1.3965,20/06/18,13:09:00
179,166.9,29.5,815.8,994,1.3973,20/06/18,13:09:02
180,166.9,29.3,815.3,994,1.3966,20/06/18,13:09:04
181,166.9,29.3,815.3,994,1.3975,20/06/18,13:09:06
182,167.0,29.3,815.5,994,1.3968,20/06/18,13:09:08
183,167.3,29.3,815.5,994,1.3976,20/06/18,13:09:10
184,167.7,29.4,815.7,986,1.3969,20/06/18,13:09:12
185,168.3,29.4,815.7,986,1.3978,20/06/18,13:09:14
186,168.8,29.4,815.7,958,1.3971,20/06/18,13:09:16
187,169.4,29.4,815.7,958,1.3979,20/06/18,13:09:18
188,170.2,29.4,815.7,931,1.3972,20/06/18,13:09:20
189,171.0,29.4,815.7,931,1.3981,20/06/18,13:09:22
190,171.8,29.4,815.9,903,1.3974,20/06/18,13:09:24
191,172.4,29.4,815.9,903,1.3983,20/06/18,13:09:26
192,173.0,29.4,815.9,884,1.3976,20/06/18,13:09:28
193,173.8,29.4,815.9,884,1.3984,20/06/18,13:09:30
194,174.4,29.5,816.4,883,1.3977,20/06/18,13:09:32
195,175.0,29.5,816.4,883,1.3986,20/06/18,13:09:34
196,175.5,29.4,816.5,883,1.3979,20/06/18,13:09:36
197,175.9,29.4,816.5,883,1.3987,20/06/18,13:09:38
198,176.2,29.5,816.1,880,1.3981,20/06/18,13:09:40
199,176.2,29.5,816.1,880,1.3989,20/06/18,13:09:42
200,176.8,29.5,816.1,882,1.3982,20/06/18,13:09:44
201,178.1,29.5,816.1,882,1.3991,20/06/18,13:09:46
202,179.1,29.5,815.7,880,1.3984,20/06/18,13:09:48
203,179.0,29.5,815.7,880,1.3992,20/06/18,13:09:50
204,178.8,29.6,815.7,878,1.3985,20/06/18,13:09:52
205,179.0,29.6,815.7,878,1.3994,20/06/18,13:09:54
206,179.3,29.6,815.4,879,1.3987,20/06/18,13:09:56
207,179.7,29.6,815.4,879,1.3996,20/06/18,13:09:58
208,180.0,29.6,815.2,878,1.3989,20/06/18,13:10:00
209,180.2,29.6,815.2,878,1.3997,20/06/18,13:10:02
210,180.0,29.6,815.5,879,1.3990,20/06/18,13:10:04
211,179.4,29.6,815.5,879,1.3999,20/06/18,13:10:06
212,179.1,29.6,816.0,879,1.3991,20/06/18,13:10:08
213,179.7,29.6,816.0,879,1.4000,20/06/18,13:10:10
214,180.5,29.6,815.6,880,1.3993,20/06/18,13:10:12
215,180.8,29.6,815.6,880,1.4002,20/06/18,13:10:14
216,180.9,29.6,815.4,883,1.3995,20/06/18,13:10:16
217,180.8,29.6,815.4,883,1.4004,20/06/18,13:10:18
218,180.7,29.7,815.3,883,1.3996,20/06/18,13:10:20
219,181.1,29.7,815.3,883,1.4005,20/06/18,13:10:22
220,181.5,29.7,815.5,886,1.3998,20/06/18,13:10:24
221,181.9,29.7,815.5,886,1.4007,20/06/18,13:10:26
222,182.3,29.7,815.2,889,1.3999,20/06/18,13:10:28
223,182.6,29.7,815.2,889,1.4008,20/06/18,13:10:30
224,183.0,29.7,816.0,894,1.4001,20/06/18,13:10:32
225,183.7,29.7,816.0,894,1.4010,20/06/18,13:10:34
226,184.4,29.7,816.4,904,1.4002,20/06/18,13:10:36
227,185.0,29.7,816.4,904,1.4011,20/06/18,13:10:38
228,185.4,29.7,816.7,922,1.4004,20/06/18,13:10:40
229,185.8,29.7,816.7,922,1.4013,20/06/18,13:10:42
230,186.2,29.7,817.3,944,1.4005,20/06/18,13:10:44
231,186.5,29.7,817.3,944,1.4014,20/06/18,13:10:46
232,186.6,29.7,817.5,969,1.4007,20/06/18,13:10:48
233,186.7,29.7,817.5,969,1.4016,20/06/18,13:10:50
234,186.9,29.7,817.8,988,1.4008,20/06/18,13:10:52
235,186.8,29.7,817.8,988,1.4017,20/06/18,13:10:54
236,186.8,29.7,817.7,988,1.4010,20/06/18,13:10:56
237,187.3,29.7,817.7,988,1.4019,20/06/18,13:10:58
238,188.0,29.7,817.2,988,1.4011,20/06/18,13:11:00
239,188.8,29.7,817.2,988,1.4021,20/06/18,13:11:02
240,189.4,29.7,816.9,988,1.4013,20/06/18,13:11:04
241,189.8,29.7,816.9,988,1.4022,20/06/18,13:11:06
242,190.0,29.7,816.1,987,1.4014,20/06/18,13:11:08
243,190.3,29.7,816.1,987,1.4024,20/06/18,13:11:10
244,190.7,29.7,816.8,965,1.4016,20/06/18,13:11:12
245,191.1,29.7,816.8,965,1.4025,20/06/18,13:11:14
246,191.2,29.7,816.0,942,1.4018,20/06/18,13:11:16
247,191.4,29.7,816.0,942,1.4027,20/06/18,13:11:18
248,191.7,29.7,815.4,909,1.4019,20/06/18,13:11:20
249,191.9,29.7,815.4,909,1.4028,20/06/18,13:11:22
250,191.8,29.7,815.5,915,1.4020,20/06/18,13:11:24
251,192.1,29.7,815.5,915,1.4030,20/06/18,13:11:26
252,192.6,29.7,815.9,909,1.4022,20/06/18,13:11:28
253,192.9,29.7,815.9,909,1.4031,20/06/18,13:11:30
254,192.7,29.7,816.9,928,1.4024,20/06/18,13:11:32
255,192.5,29.7,816.9,928,1.4033,20/06/18,13:11:34
256,192.9,29.7,817.3,909,1.4025,20/06/18,13:11:36
257,193.4,29.7,817.3,909,1.4034,20/06/18,13:11:38
258,193.4,29.7,817.6,936,1.4026,20/06/18,13:11:40
259,193.5,29.7,817.6,936,1.4036,20/06/18,13:11:42
260,194.0,29.7,817.2,937,1.4028,20/06/18,13:11:44
261,194.2,29.7,817.2,937,1.4037,20/06/18,13:11:46
262,193.9,29.7,816.9,937,1.4029,20/06/18,13:11:48
263,194.1,29.7,816.9,937,1.4039,20/06/18,13:11:50
264,194.5,29.7,815.6,937,1.4031,20/06/18,13:11:52
265,194.8,29.7,815.6,937,1.4040,20/06/18,13:11:54
266,195.0,29.7,815.0,950,1.4032,20/06/18,13:11:56
267,195.2,29.7,815.0,950,1.4041,20/06/18,13:11:58
268,195.1,29.7,816.1,958,1.4034,20/06/18,13:12:00
269,194.6,29.7,816.1,958,1.4043,20/06/18,13:12:02
270,194.2,29.7,817.3,978,1.4035,20/06/18,13:12:04
271,194.3,29.7,817.3,978,1.4045,20/06/18,13:12:06
272,194.5,29.7,817.3,968,1.4037,20/06/18,13:12:08
273,194.9,29.7,817.3,968,1.4046,20/06/18,13:12:10
274,195.2,29.7,817.9,958,1.4038,20/06/18,13:12:12
275,195.2,29.7,817.9,958,1.4047,20/06/18,13:12:14
276,195.0,29.7,817.5,959,1.4040,20/06/18,13:12:16
277,194.5,29.7,817.5,959,1.4049,20/06/18,13:12:18
278,194.7,29.7,816.7,917,1.4041,20/06/18,13:12:20
279,195.5,29.7,816.7,917,1.4050,20/06/18,13:12:22
280,195.8,29.7,815.6,912,1.4043,20/06/18,13:12:24
281,195.6,29.7,815.6,912,1.4052,20/06/18,13:12:26
282,195.4,29.7,815.6,939,1.4044,20/06/18,13:12:28
283,195.4,29.7,815.6,939,1.4053,20/06/18,13:12:30
284,195.7,29.7,817.2,957,1.4045,20/06/18,13:12:32
285,196.5,29.7,817.2,957,1.4055,20/06/18,13:12:34
286,197.4,29.7,817.4,968,1.4047,20/06/18,13:12:36
287,197.8,29.7,817.4,968,1.4056,20/06/18,13:12:38
288,197.5,29.7,817.3,953,1.4048,20/06/18,13:12:40
289,196.9,29.7,817.3,953,1.4058,20/06/18,13:12:42
290,197.1,29.7,816.2,944,1.4049,20/06/18,13:12:44
291,197.8,29.7,816.2,944,1.4059,20/06/18,13:12:46
292,198.3,29.7,815.2,916,1.4051,20/06/18,13:12:48
293,198.4,29.7,815.2,916,1.4061,20/06/18,13:12:50
294,198.9,29.7,816.1,927,1.4052,20/06/18,13:12:52
295,199.4,29.7,816.1,927,1.4062,20/06/18,13:12:54
296,199.5,29.7,817.3,953,1.4054,20/06/18,13:12:56
297,200.0,29.7,817.3,953,1.4063,20/06/18,13:12:58
298,200.6,29.7,817.5,958,1.4055,20/06/18,13:13:00
299,200.7,29.7,817.5,958,1.4065,20/06/18,13:13:02
300,200.7,29.7,816.6,953,1.4056,20/06/18,13:13:04
301,201.0,29.7,816.6,953,1.4066,20/06/18,13:13:06
302,201.5,29.7,815.2,942,1.4058,20/06/18,13:13:08
303,201.5,29.7,815.2,942,1.4068,20/06/18,13:13:10
304,201.2,29.7,816.2,960,1.4059,20/06/18,13:13:12
305,200.9,29.7,816.2,960,1.4069,20/06/18,13:13:14
306,200.6,29.7,817.2,941,1.4061,20/06/18,13:13:16
307,200.2,29.7,817.2,941,1.4070,20/06/18,13:13:18
308,200.2,29.7,817.4,941,1.4062,20/06/18,13:13:20
309,200.4,29.7,817.4,941,1.4072,20/06/18,13:13:22
310,200.3,29.7,816.3,941,1.4063,20/06/18,13:13:24
311,199.9,29.7,816.3,941,1.4073,20/06/18,13:13:26
312,199.7,29.7,815.3,939,1.4065,20/06/18,13:13:28
313,199.9,29.7,815.3,939,1.4074,20/06/18,13:13:30
314,200.0,29.7,816.6,963,1.4066,20/06/18,13:13:32
315,199.8,29.7,816.6,963,1.4076,20/06/18,13:13:34
316,199.7,29.7,817.4,938,1.4068,20/06/18,13:13:36
317,199.6,29.7,817.4,938,1.4077,20/06/18,13:13:38
318,199.5,29.7,817.0,943,1.4069,20/06/18,13:13:40
319,199.9,29.7,817.0,943,1.4079,20/06/18,13:13:42
320,200.6,29.7,815.1,943,1.4070,20/06/18,13:13:44
321,201.3,29.7,815.1,943,1.4080,20/06/18,13:13:46
322,202.0,29.7,816.2,956,1.4072,20/06/18,13:13:48
323,202.5,29.7,816.2,956,1.4081,20/06/18,13:13:50
324,202.5,29.7,817.3,985,1.4073,20/06/18,13:13:52
325,202.6,29.7,817.3,985,1.4083,20/06/18,13:13:54
326,203.2,29.7,817.0,929,1.4074,20/06/18,13:13:56
327,203.9,29.7,817.0,929,1.4084,20/06/18,13:13:58
328,204.3,29.7,815.2,935,1.4076,20/06/18,13:14:00
329,204.6,29.7,815.2,935,1.4085,20/06/18,13:14:02
330,204.8,29.7,815.9,958,1.4077,20/06/18,13:14:04
331,204.6,29.7,815.9,958,1.4087,20/06/18,13:14:06
332,204.1,29.7,817.3,974,1.4078,20/06/18,13:14:08
333,203.9,29.7,817.3,974,1.4088,20/06/18,13:14:10
334,204.6,29.7,817.1,941,1.4079,20/06/18,13:14:12
335,205.9,29.7,817.1,941,1.4090,20/06/18,13:14:14
336,206.6,29.7,815.2,921,1.4081,20/06/18,13:14:16
337,206.8,29.7,815.2,921,1.4091,20/06/18,13:14:18
338,207.1,29.7,816.0,944,1.4082,20/06/18,13:14:20
339,207.4,29.7,816.0,944,1.4092,20/06/18,13:14:22
340,207.5,29.8,817.7,966,1.4084,20/06/18,13:14:24
341,207.7,29.8,817.7,966,1.4093,20/06/18,13:14:26
342,208.1,29.8,817.4,980,1.4085,20/06/18,13:14:28
343,208.4,29.8,817.4,980,1.4095,20/06/18,13:14:30
344,208.4,29.8,815.8,930,1.4086,20/06/18,13:14:32
345,208.0,29.8,815.8,930,1.4096,20/06/18,13:14:34
346,207.6,29.7,815.7,955,1.4088,20/06/18,13:14:36
347,207.5,29.7,815.7,955,1.4097,20/06/18,13:14:38
348,207.9,29.8,817.2,980,1.4089,20/06/18,13:14:40
349,208.2,29.8,817.2,980,1.4099,20/06/18,13:14:42
