Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
1,-5.3,28.3,813.9,991,1.4322,27/06/18,10:14:38
2,-37.2,28.3,813.9,991,1.4324,27/06/18,10:14:40
3,-44,28.3,813.4,984,1.4325,27/06/18,10:14:42
4,-38,28.3,813.4,984,1.4327,27/06/18,10:14:44
5,-38.4,28.3,812.4,987,1.4328,27/06/18,10:14:46
6,-39.1,28.3,812.4,987,1.433,27/06/18,10:14:48
7,-39.5,28.3,814.1,981,1.4331,27/06/18,10:14:50
8,-39.9,28.3,814.1,981,1.4333,27/06/18,10:14:52
9,-40.2,28.3,812.9,950,1.4333,27/06/18,10:14:54
10,-40.1,28.3,812.9,950,1.4336,27/06/18,10:14:56
11,-20.7,28.3,813.6,967,1.4336,27/06/18,10:14:58
12,11.8,28.3,813.6,967,1.4339,27/06/18,10:15:00
13,19.3,28.3,814.3,988,1.4339,27/06/18,10:15:02
14,14.2,28.3,814.3,988,1.4342,27/06/18,10:15:04
15,15.7,28.4,812.7,987,1.4342,27/06/18,10:15:06
16,17.5,28.4,812.7,987,1.4345,27/06/18,10:15:08
17,19.3,28.3,814.1,958,1.4345,27/06/18,10:15:10
18,26.5,28.3,814.1,958,1.4354,27/06/18,10:15:12
19,37.4,28.5,812.9,989,1.4354,27/06/18,10:15:14
20,41.3,28.5,812.9,989,1.4357,27/06/18,10:15:16
21,41.7,28.5,812.5,913,1.4356,27/06/18,10:15:18
22,43.8,28.5,812.5,913,1.436,27/06/18,10:15:20
23,46.3,28.4,814.4,946,1.4359,27/06/18,10:15:22
24,49.5,28.4,814.4,946,1.4362,27/06/18,10:15:24
25,52.5,28.6,812.4,981,1.4362,27/06/18,10:15:26
26,55.2,28.6,812.4,981,1.4366,27/06/18,10:15:28
27,58,28.5,814.5,936,1.4364,27/06/18,10:15:30
28,55.4,28.5,814.5,936,1.4368,27/06/18,10:15:32
29,48.6,28.6,812.6,936,1.4368,27/06/18,10:15:34
30,48.3,28.6,812.6,936,1.4371,27/06/18,10:15:36
31,51.6,28.6,814.4,948,1.437,27/06/18,10:15:38
32,53.1,28.6,814.4,948,1.4374,27/06/18,10:15:40
33,54.2,28.7,813.6,932,1.4373,27/06/18,10:15:42
34,54.7,28.7,813.6,932,1.4377,27/06/18,10:15:44
35,55.1,28.7,813.8,1007,1.4376,27/06/18,10:15:46
36,55.6,28.7,813.8,1007,1.438,27/06/18,10:15:48
37,56.2,28.6,813.6,925,1.4378,27/06/18,10:15:50
38,57.1,28.6,813.6,925,1.4382,27/06/18,10:15:52
39,58.5,28.7,813.4,955,1.4381,27/06/18,10:15:54
40,60.2,28.7,813.4,955,1.4385,27/06/18,10:15:56
41,61.8,28.7,813.8,955,1.4384,27/06/18,10:15:58
42,63.3,28.7,813.8,955,1.4388,27/06/18,10:16:00
43,64.7,28.7,813.4,958,1.4386,27/06/18,10:16:02
44,65.9,28.7,813.4,958,1.4391,27/06/18,10:16:04
45,67.3,28.7,813.6,957,1.4389,27/06/18,10:16:06
46,69,28.7,813.6,957,1.4394,27/06/18,10:16:08
47,70.3,28.7,813.8,958,1.4392,27/06/18,10:16:10
48,71.2,28.7,813.8,958,1.4397,27/06/18,10:16:12
49,72.4,28.7,813.1,959,1.4394,27/06/18,10:16:14
50,73.2,28.7,813.1,959,1.4399,27/06/18,10:16:16
51,73.7,28.7,813.9,958,1.4397,27/06/18,10:16:18
52,74.3,28.7,813.9,958,1.4402,27/06/18,10:16:20
53,75.5,28.7,812.3,929,1.4399,27/06/18,10:16:22
54,77.5,28.7,812.3,929,1.4405,27/06/18,10:16:24
55,79.3,28.7,814.2,958,1.4402,27/06/18,10:16:26
56,80.5,28.7,814.2,958,1.4407,27/06/18,10:16:28
57,81.8,28.8,813.1,923,1.4405,27/06/18,10:16:30
58,83.4,28.8,813.1,923,1.441,27/06/18,10:16:32
59,85.2,28.7,813.5,954,1.4407,27/06/18,10:16:34
60,87.6,28.7,813.5,954,1.4413,27/06/18,10:16:36
61,89.9,28.8,814.2,945,1.441,27/06/18,10:16:38
62,91.4,28.8,814.2,945,1.4415,27/06/18,10:16:40
63,92.5,28.8,812.4,956,1.4412,27/06/18,10:16:42
64,93.5,28.8,812.4,956,1.4418,27/06/18,10:16:44
65,94.9,28.8,813.8,936,1.4415,27/06/18,10:16:46
66,96.5,28.8,813.8,936,1.4421,27/06/18,10:16:48
67,97.8,28.8,812.3,949,1.4418,27/06/18,10:16:50
68,98.5,28.8,812.3,949,1.4424,27/06/18,10:16:52
69,98.8,28.7,814.4,1027,1.442,27/06/18,10:16:54
70,98.9,28.7,814.4,1027,1.4426,27/06/18,10:16:56
71,99.7,28.8,813.1,978,1.4423,27/06/18,10:16:58
72,101.5,28.8,813.1,978,1.4429,27/06/18,10:17:00
73,103.3,28.8,812.7,978,1.4425,27/06/18,10:17:02
74,104.5,28.8,812.7,978,1.4432,27/06/18,10:17:04
75,105.3,28.8,814.1,949,1.4428,27/06/18,10:17:06
76,106.1,28.8,814.1,949,1.4434,27/06/18,10:17:08
77,107.6,28.8,812.7,978,1.443,27/06/18,10:17:10
78,109.8,28.8,812.7,978,1.4437,27/06/18,10:17:12
79,111.6,28.8,812.8,984,1.4433,27/06/18,10:17:14
80,112.7,28.8,812.8,984,1.4439,27/06/18,10:17:16
81,113.9,28.8,814,969,1.4435,27/06/18,10:17:18
82,115.1,28.8,814,969,1.4442,27/06/18,10:17:20
83,116,28.8,813.4,1030,1.4438,27/06/18,10:17:22
84,116.6,28.8,813.4,1030,1.4444,27/06/18,10:17:24
85,117.5,28.8,812.3,962,1.444,27/06/18,10:17:26
86,118.8,28.8,812.3,962,1.4447,27/06/18,10:17:28
87,119.8,28.8,814,1011,1.4443,27/06/18,10:17:30
88,119.9,28.8,814,1011,1.445,27/06/18,10:17:32
89,120,28.8,813.8,963,1.4446,27/06/18,10:17:34
90,120.5,28.8,813.8,963,1.4452,27/06/18,10:17:36
91,121.2,28.8,812.3,979,1.4448,27/06/18,10:17:38
92,122,28.8,812.3,979,1.4455,27/06/18,10:17:40
93,122.9,28.8,813.3,1000,1.445,27/06/18,10:17:42
94,124.4,28.8,813.3,1000,1.4457,27/06/18,10:17:44
95,126.4,28.8,814,964,1.4452,27/06/18,10:17:46
96,128.1,28.8,814,964,1.446,27/06/18,10:17:48
97,129.2,28.8,813.7,982,1.4455,27/06/18,10:17:50
98,130.6,28.8,813.7,982,1.4463,27/06/18,10:17:52
99,132.4,28.8,812.2,997,1.4458,27/06/18,10:17:54
100,133.9,28.8,812.2,997,1.4465,27/06/18,10:17:56
101,134.6,28.8,813.4,982,1.446,27/06/18,10:17:58
102,134.9,28.8,813.4,982,1.4468,27/06/18,10:18:00
103,135.5,28.8,813.9,964,1.4463,27/06/18,10:18:02
104,135.5,28.8,813.9,964,1.447,27/06/18,10:18:04
105,135.2,28.8,813.1,973,1.4465,27/06/18,10:18:06
106,136,28.8,813.1,973,1.4473,27/06/18,10:18:08
107,137.4,28.8,812,989,1.4467,27/06/18,10:18:10
108,138.7,28.8,812,989,1.4475,27/06/18,10:18:12
109,139.8,28.8,813.6,931,1.4469,27/06/18,10:18:14
110,141.6,28.8,813.6,931,1.4478,27/06/18,10:18:16
