Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
1,47.2,28.3,813.2,943,1.426,29/06/18,7:49:31
2,112.8,28.8,813.2,975,1.426,29/06/18,7:49:33
3,126.2,28.8,813.2,975,1.4262,29/06/18,7:49:35
4,113.5,28.8,810.8,975,1.4262,29/06/18,7:49:37
5,114.1,28.8,810.8,975,1.4264,29/06/18,7:49:39
6,115.1,28.7,812.7,980,1.4264,29/06/18,7:49:41
7,116.1,28.7,812.7,980,1.4265,29/06/18,7:49:43
8,117.1,28.8,811,990,1.4266,29/06/18,7:49:45
9,117.8,28.8,811,990,1.4267,29/06/18,7:49:47
10,118.7,28.7,812.4,980,1.4267,29/06/18,7:49:49
11,80.9,28.7,812.4,980,1.4269,29/06/18,7:49:51
12,17.2,28.7,811.2,962,1.4269,29/06/18,7:49:53
13,5.5,28.7,811.2,962,1.4271,29/06/18,7:49:55
14,19.8,28.7,812.3,994,1.4271,29/06/18,7:49:57
15,20.8,28.7,812.3,994,1.4273,29/06/18,7:49:59
16,21.6,28.8,811.7,958,1.4272,29/06/18,7:50:01
17,22.8,28.8,811.7,958,1.4275,29/06/18,7:50:03
18,24.5,28.8,812.7,991,1.4274,29/06/18,7:50:05
19,26.8,28.8,812.7,991,1.4277,29/06/18,7:50:07
20,29.4,28.8,812.1,919,1.4276,29/06/18,7:50:09
21,31.6,28.8,812.1,919,1.4279,29/06/18,7:50:11
22,33.4,28.8,812.1,964,1.4277,29/06/18,7:50:13
23,35.4,28.8,812.1,964,1.428,29/06/18,7:50:15
24,37.7,28.8,812.2,957,1.4279,29/06/18,7:50:17
25,40.1,28.8,812.2,957,1.4282,29/06/18,7:50:19
26,42.4,28.8,812.3,955,1.4281,29/06/18,7:50:21
27,44.5,28.8,812.3,955,1.4284,29/06/18,7:50:23
28,46.2,28.8,812.1,957,1.4283,29/06/18,7:50:25
29,47.7,28.8,812.1,957,1.4286,29/06/18,7:50:27
30,49.1,28.8,812.7,955,1.4284,29/06/18,7:50:29
31,50.7,28.8,812.7,955,1.4288,29/06/18,7:50:31
32,52.2,28.8,813,955,1.4286,29/06/18,7:50:33
33,53.3,28.8,813,955,1.429,29/06/18,7:50:35
34,54.4,28.8,812,964,1.4288,29/06/18,7:50:37
35,55.8,28.8,812,964,1.4292,29/06/18,7:50:39
36,57.2,28.8,812.5,950,1.429,29/06/18,7:50:41
37,58.5,28.8,812.5,950,1.4294,29/06/18,7:50:43
38,59.8,28.8,812.2,964,1.4291,29/06/18,7:50:45
39,61.2,28.8,812.2,964,1.4295,29/06/18,7:50:47
40,62.6,28.8,811.8,969,1.4293,29/06/18,7:50:49
41,63.9,28.8,811.8,969,1.4297,29/06/18,7:50:51
42,64.7,28.8,812.9,964,1.4295,29/06/18,7:50:53
43,65.8,28.8,812.9,964,1.4299,29/06/18,7:50:55
44,67.2,28.8,811,953,1.4297,29/06/18,7:50:57
45,68,28.8,811,953,1.4301,29/06/18,7:50:59
46,68.7,28.8,812.8,965,1.4299,29/06/18,7:51:01
47,69.7,28.8,812.8,965,1.4303,29/06/18,7:51:03
48,70.6,28.8,811.6,951,1.43,29/06/18,7:51:05
49,71.5,28.8,811.6,951,1.4305,29/06/18,7:51:07
50,72.4,28.8,812.1,953,1.4302,29/06/18,7:51:09
51,73.3,28.8,812.1,953,1.4307,29/06/18,7:51:11
52,74.8,28.8,812.7,939,1.4304,29/06/18,7:51:13
53,76.6,28.8,812.7,939,1.4308,29/06/18,7:51:15
54,77.9,28.8,811,939,1.4306,29/06/18,7:51:17
55,79.4,28.8,811,939,1.431,29/06/18,7:51:19
56,81.1,28.8,813,978,1.4307,29/06/18,7:51:21
57,82.5,28.8,813,978,1.4312,29/06/18,7:51:23
58,83.5,28.8,811.7,966,1.4309,29/06/18,7:51:25
59,84.4,28.8,811.7,966,1.4314,29/06/18,7:51:27
60,85.3,28.8,811.9,999,1.4311,29/06/18,7:51:29
61,86.5,28.8,811.9,999,1.4316,29/06/18,7:51:31
62,87.5,28.8,812.9,966,1.4313,29/06/18,7:51:33
63,88,28.8,812.9,966,1.4318,29/06/18,7:51:35
64,88.4,28.8,810.9,966,1.4315,29/06/18,7:51:37
65,89.2,28.8,810.9,966,1.432,29/06/18,7:51:39
